"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",27721,0.0341851828096118,0.00296209629088315,0.0096600701097671,0.0168000323329609,0.0855239886697228,0.00981386330324746,0.715846222415792,2.59314338891963,0.372523561598795,0.647863608497185,FALSE,TRUE
1,1,"hours",27720,0.0341502486535781,0.00296209629088315,0.00978419522551022,0.0168000323329609,0.0848634621614466,0.00981386330324746,0.715818124519116,2.5931102973543,0.377315042691891,0.647871876105758,FALSE,TRUE
2,2,"hours",27701,0.0331569617888312,0.00296209629088315,0.00778856496207947,0.0168000323329609,0.0854335415795185,0.00981386330324746,0.71595185426514,2.5930562604707,0.300362359305913,0.647885377153804,FALSE,TRUE
3,3,"hours",27683,0.0311743069164034,0.00296209629088315,0.0077705513681523,0.0168000323329609,0.0869669822655514,0.00981386330324746,0.716065625339792,2.59296466443323,0.299678259204152,0.647908263594986,FALSE,TRUE
4,4,"hours",27667,0.0293029143498678,0.00296209629088315,0.00757499938393336,0.0168000323329609,0.0887436125131806,0.00981386330324746,0.716139470293118,2.59300388571315,0.292132203336441,0.647898463458739,FALSE,TRUE
5,5,"hours",27651,0.0270613942957074,0.00296209629088315,0.00755427363578232,0.0168000323329609,0.0900952065583197,0.00981386330324746,0.716068145155628,2.59300328112482,0.291332976351088,0.647898614523666,FALSE,TRUE
6,6,"hours",27636,0.0248260329799601,0.00296209629088315,0.00716087610364013,0.0168000323329609,0.0906282509969302,0.00981386330324746,0.715976599765669,2.59303508355918,0.276158087834707,0.647890668332236,FALSE,TRUE
7,7,"hours",27623,0.0224871875968651,0.00296209629088315,0.00655372158079537,0.0168000323329609,0.0904161748848225,0.00981386330324746,0.715990058047228,2.59295269256125,0.252751297761695,0.647911255039763,FALSE,TRUE
8,8,"hours",27610,0.0213553732958895,0.00296209629088315,0.00655197708551647,0.0168000323329609,0.0894983963250831,0.00981386330324746,0.716003307918286,2.59294061793053,0.252685196113196,0.64791427218913,FALSE,TRUE
9,9,"hours",27597,0.0196101622656948,0.00296209629088315,0.00641130241240528,0.0168000323329609,0.0879046591316706,0.00981386330324746,0.716016348020478,2.59290525658287,0.247263273354407,0.647923108270501,FALSE,TRUE
10,10,"hours",27584,0.0189253491092107,0.00296209629088315,0.00664087625563958,0.0168000323329609,0.0856644387372734,0.00981386330324746,0.716029176983185,2.59293623845259,0.256114136443352,0.647915366518493,FALSE,TRUE
11,11,"hours",27571,0.0184145916096163,0.00296209629088315,0.0065947729134086,0.0168000323329609,0.0827924156802052,0.00981386330324746,0.71604179342337,2.59301039361749,0.254328826820022,0.647896837371458,FALSE,TRUE
12,12,"hours",27558,0.0174999158226021,0.00296209629088315,0.00557676482569125,0.0168000323329609,0.0795217726956376,0.00981386330324746,0.716054195945415,2.59301471417411,0.215068768997228,0.647895757826883,FALSE,TRUE
13,13,"hours",27545,0.0171265294124061,0.00296209629088315,0.00611819726520046,0.0168000323329609,0.076067991066196,0.00981386330324746,0.716066383140951,2.59299228966677,0.235951232465359,0.647901360906858,FALSE,TRUE
14,14,"hours",27533,0.0166575002740141,0.00296209629088315,0.00637753985831502,0.0168000323329609,0.07258616275513,0.00981386330324746,0.71601229959255,2.59298572102035,0.245953527881574,0.647903002194322,FALSE,TRUE
15,15,"hours",27522,0.0156677542657402,0.00296209629088315,0.00573972351658636,0.0168000323329609,0.0690913796641463,0.00981386330324746,0.715846250238262,2.59294848385688,0.221358949177764,0.64791230668693,FALSE,TRUE
16,16,"hours",27512,0.0153925167043929,0.00296209629088315,0.00651246664524674,0.0168000323329609,0.0658339009304718,0.00981386330324746,0.715707792328812,2.59292441774075,0.251162995754467,0.647918320257055,FALSE,TRUE
17,17,"hours",27502,0.0153735033928912,0.00296209629088315,0.00680208772534296,0.0168000323329609,0.0622032509409482,0.00981386330324746,0.71561291539094,2.59294775252782,0.262330304137896,0.647912489427636,FALSE,TRUE
18,18,"hours",27492,0.0153155756685939,0.00296209629088315,0.00608704294761697,0.0168000323329609,0.058231090337005,0.00981386330324746,0.715564689429984,2.59297060576081,0.234751714272942,0.647906779029283,FALSE,TRUE
19,19,"hours",27482,0.0148513153965593,0.00296209629088315,0.00678330387265547,0.0168000323329609,0.0538056952083164,0.00981386330324746,0.715573300334513,2.59299339920709,0.261601278072274,0.647901083670254,FALSE,TRUE
