"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",40585,0.194068032365752,0.00224123582022424,0.0571632647910567,0.0186702773374488,0.479802498738498,0.00825432803074871,2.72699354454135,2.59473931194081,2.20304461908737,0.719543472114116,TRUE,TRUE
1,1,"hours",40584,0.23663212165745,0.00224123582022424,0.0606014298190196,0.0186702773374488,0.529634420659206,0.00825432803074871,2.72699865845507,2.59471804422325,2.33556898230001,0.719549369882996,TRUE,TRUE
2,2,"hours",40577,0.278070025072599,0.00224123582022424,0.0535885389427389,0.0186702773374488,0.571497348011802,0.00825432803074871,2.72707488521075,2.5947221589396,2.06529006422172,0.719548228819957,TRUE,TRUE
3,3,"hours",40570,0.313427946930044,0.00224123582022424,0.0428591412528192,0.0186702773374488,0.60239296007241,0.00825432803074871,2.72711957003214,2.59472622507608,1.65177893677637,0.719547101232284,TRUE,TRUE
4,4,"hours",40563,0.338767624853385,0.00224123582022424,0.0316071731460745,0.0186702773374488,0.622094542603727,0.00825432803074871,2.72717870565866,2.59472137231087,1.21813361092891,0.7195484469618,TRUE,TRUE
5,5,"hours",40556,0.352021165231617,0.00224123582022424,0.0223336735086841,0.0186702773374488,0.631669249201995,0.00825432803074871,2.72723057674854,2.59466593754295,0.860753331884924,0.719563820039542,TRUE,TRUE
6,6,"hours",40549,0.354117539768817,0.00224123582022424,0.0159578536153173,0.0186702773374488,0.632655317383032,0.00825432803074871,2.72731699016755,2.59461041834372,0.61503852379904,0.719579217190034,FALSE,TRUE
7,7,"hours",40542,0.347578732268644,0.00224123582022424,0.0121418323785125,0.0186702773374488,0.627159370951129,0.00825432803074871,2.72736883480818,2.59447336076927,0.467988323260812,0.719617230215578,FALSE,TRUE
8,8,"hours",40535,0.335627495905012,0.00224123582022424,0.0105774829878369,0.0186702773374488,0.617573208277997,0.00825432803074871,2.72745524603317,2.59429925302752,0.407720234105341,0.719665524925886,FALSE,TRUE
9,9,"hours",40528,0.323566362599718,0.00224123582022424,0.0111420510961953,0.0186702773374488,0.605718915793382,0.00825432803074871,2.72751286583322,2.5941133016652,0.429512893251155,0.719717112026837,FALSE,TRUE
10,10,"hours",40521,0.310759206661321,0.00224123582022424,0.0102771561403046,0.0186702773374488,0.59302404392803,0.00825432803074871,2.727584730374,2.59404602960703,0.396182489555184,0.719735776634508,FALSE,TRUE
11,11,"hours",40514,0.297276144226521,0.00224123582022424,0.0091189674907497,0.0186702773374488,0.580093234785139,0.00825432803074871,2.72762077558808,2.5940347413073,0.351536058694189,0.719738908663946,FALSE,TRUE
12,12,"hours",40507,0.284113873192002,0.00224123582022424,0.00880118155466292,0.0186702773374488,0.56749407270103,0.00825432803074871,2.72762636198883,2.59403984021697,0.339284748761869,0.719737493927126,FALSE,TRUE
13,13,"hours",40500,0.271602827260355,0.00224123582022424,0.00859606893056508,0.0186702773374488,0.555404045583715,0.00825432803074871,2.72762779235864,2.59403752289412,0.331377971779475,0.719738136887808,FALSE,TRUE
14,14,"hours",40493,0.259978149760508,0.00224123582022424,0.0090984297929797,0.0186702773374488,0.543926981082364,0.00825432803074871,2.72762343202549,2.59401942786183,0.350746401328199,0.719743157545978,FALSE,TRUE
15,15,"hours",40486,0.249574389885754,0.00224123582022424,0.00947087145121817,0.0186702773374488,0.533254089099876,0.00825432803074871,2.72761617406798,2.59405219046441,0.365099495146341,0.719734067266637,FALSE,TRUE
16,16,"hours",40479,0.239259689542704,0.00224123582022424,0.00959067261404112,0.0186702773374488,0.523256450804442,0.00825432803074871,2.72764354281926,2.59408492287,0.369713131959857,0.719724985595024,FALSE,TRUE
17,17,"hours",40472,0.22869663080834,0.00224123582022424,0.00837534749026148,0.0186702773374488,0.513895535324991,0.00825432803074871,2.72768819135585,2.59407396393528,0.32286463711913,0.719728026147931,FALSE,TRUE
18,18,"hours",40465,0.219607830894019,0.00224123582022424,0.00883049302596373,0.0186702773374488,0.504942492255245,0.00825432803074871,2.72775306151467,2.59409345073645,0.34040766817621,0.719722619558999,FALSE,TRUE
19,19,"hours",40458,0.210249359809035,0.00224123582022424,0.0078591029493138,0.0186702773374488,0.495775339892681,0.00825432803074871,2.72784364993072,2.59411291626863,0.302959169588436,0.719717218952216,FALSE,TRUE
20,20,"hours",40451,0.199919455966481,0.00224123582022424,0.00771423465912413,0.0186702773374488,0.485665827855652,0.00825432803074871,2.72793697694066,2.5941481421109,0.297370629452446,0.719707445938554,FALSE,TRUE
21,21,"hours",40444,0.188696123964363,0.00224123582022424,0.00728645569304831,0.0186702773374488,0.474124208433807,0.00825432803074871,2.72803022703388,2.59419913739718,0.280874956282615,0.719693298340277,FALSE,TRUE
22,22,"hours",40437,0.176932098762868,0.00224123582022424,0.00745229070507314,0.0186702773374488,0.460925482409232,0.00825432803074871,2.72810654189835,2.59425012355656,0.287261842541863,0.719679153830123,FALSE,TRUE
23,23,"hours",40430,0.16452877617906,0.00224123582022424,0.00758113313584818,0.0186702773374488,0.445473617326721,0.00825432803074871,2.72819296590468,2.59430110057106,0.292222561759675,0.719665012412749,FALSE,TRUE
