"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",172363,0.00651912890639039,0.000486367108832591,0.000850330970730173,0.0036970043440126,0.0556864702396443,0.00416544820427358,0.674220085713824,2.6251066734386,0.0323922444498735,0.140832537641982,FALSE,TRUE
1,0.5,"hours",172362,0.00649452622084423,0.000486367108832591,0.000912254949070768,0.0036970043440126,0.0547659829509333,0.00416544820427358,0.674244441109444,2.62510905884322,0.0347511257102881,0.140832409669171,FALSE,TRUE
2,1,"hours",172285,0.00644805692454753,0.000486367108832591,0.00089721178241442,0.0036970043440126,0.0538736366029026,0.00416544820427358,0.674223014908389,2.62507417713224,0.0341785306575442,0.140834281035494,FALSE,TRUE
3,1.5,"hours",172211,0.00638563644020396,0.000486367108832591,0.000872984942775101,0.0036970043440126,0.052949928772641,0.00416544820427358,0.674218497601479,2.62501633966589,0.0332563622398714,0.140837384063032,FALSE,TRUE
4,2,"hours",172141,0.00639229922394779,0.000486367108832591,0.000944093347620356,0.0036970043440126,0.0520612739843444,0.00416544820427358,0.674198340557421,2.62495934786669,0.0359660178504334,0.140840441853591,FALSE,TRUE
5,2.5,"hours",172074,0.00634345869096498,0.000486367108832591,0.000972459926555924,0.0036970043440126,0.0511641924453981,0.00416544820427358,0.674169165472238,2.62491140164014,0.0370473428531072,0.140843014423366,FALSE,TRUE
6,3,"hours",172009,0.0063504912947967,0.000486367108832591,0.000988575996071717,0.0036970043440126,0.0502871184120487,0.00416544820427358,0.674182240743075,2.62486157197171,0.0376620240331047,0.140845688149396,FALSE,TRUE
7,3.5,"hours",171945,0.00635898678066793,0.000486367108832591,0.000950585099945389,0.0036970043440126,0.0494062120075601,0.00416544820427358,0.674170004904602,2.62484927984927,0.0362148450672176,0.140846347727245,FALSE,TRUE
8,4,"hours",171884,0.00636137865918451,0.000486367108832591,0.000930390427041239,0.0036970043440126,0.0484943167063085,0.00416544820427358,0.674148753437868,2.62482783517819,0.0354457696071361,0.140847498432659,FALSE,TRUE
9,4.5,"hours",171823,0.00632227594813095,0.000486367108832591,0.000894150582138931,0.0036970043440126,0.0475706916838801,0.00416544820427358,0.674127480019527,2.62479788631276,0.0340655022164395,0.140849105498406,FALSE,TRUE
10,5,"hours",171762,0.00628778723930301,0.000486367108832591,0.000906955987951541,0.0036970043440126,0.0465913145731723,0.00416544820427358,0.674106184618874,2.62475869173585,0.0345538807360511,0.140851208747408,FALSE,TRUE
11,5.5,"hours",171701,0.00628290852739521,0.000486367108832591,0.000938137093678737,0.0036970043440126,0.0455785761714137,0.00416544820427358,0.674084867205149,2.62471186468211,0.0357424792527601,0.140853721650714,FALSE,TRUE
12,6,"hours",171642,0.0062430775759128,0.000486367108832591,0.000924298856432415,0.0036970043440126,0.0445175595261804,0.00416544820427358,0.67405751953261,2.62467343851313,0.0352157660023423,0.140855783800172,FALSE,TRUE
13,6.5,"hours",171583,0.00622184561292194,0.000486367108832591,0.000908184666416734,0.0036970043440126,0.0433885315545222,0.00416544820427358,0.674030145766362,2.6246242248036,0.0346024645293629,0.140858424953737,FALSE,TRUE
14,7,"hours",171525,0.00614731468898011,0.000486367108832591,0.000931328551517563,0.0036970043440126,0.0421945041145881,0.00416544820427358,0.673999739856907,2.62453797786199,0.0354854286496645,0.140863053809733,FALSE,TRUE
15,7.5,"hours",171467,0.00604282706822001,0.000486367108832591,0.000870851700582431,0.0036970043440126,0.0409374286613731,0.00416544820427358,0.673969305860586,2.62446704424894,0.0331820398541772,0.140866861030468,FALSE,TRUE
16,8,"hours",171410,0.00597854971854694,0.000486367108832591,0.000923606737032845,0.0036970043440126,0.0396453448983846,0.00416544820427358,0.673935835860601,2.62440573808526,0.0351929857349991,0.140870151682792,FALSE,TRUE
17,8.5,"hours",171354,0.00586165121954396,0.000486367108832591,0.000836460740974765,0.0036970043440126,0.0383148250921464,0.00416544820427358,0.673899327063905,2.62434201398172,0.0318731604538718,0.14087357228273,FALSE,TRUE
18,9,"hours",171298,0.00576254849040669,0.000486367108832591,0.000899693296259052,0.0036970043440126,0.036937970518296,0.00416544820427358,0.673862786392754,2.62428810953964,0.0342833278475997,0.140876465909878,FALSE,TRUE
19,9.5,"hours",171244,0.00568055156994429,0.000486367108832591,0.000952599688165634,0.0036970043440126,0.0355301734854433,0.00416544820427358,0.673842625495653,2.62421858024478,0.0363003179436668,0.140880198465318,FALSE,TRUE
20,10,"hours",171191,0.00565160229647788,0.000486367108832591,0.000954784360577499,0.0036970043440126,0.0340744505136931,0.00416544820427358,0.673841875672656,2.62415281025507,0.0363844802347731,0.140883729391249,FALSE,TRUE
21,10.5,"hours",171138,0.00555518848533998,0.000486367108832591,0.000970540048261803,0.0036970043440126,0.0325945938567026,0.00416544820427358,0.673841122227055,2.6241008557653,0.0369856229469791,0.140886518743747,FALSE,TRUE
22,11,"hours",171086,0.00546597762445655,0.000486367108832591,0.000942360806653664,0.0036970043440126,0.0310885663059353,0.00416544820427358,0.673837351749379,2.62405600955546,0.0359123739440801,0.140888926553016,FALSE,TRUE
23,11.5,"hours",171035,0.00539493336890295,0.000486367108832591,0.000917785592991827,0.0036970043440126,0.0295325513892003,0.00416544820427358,0.673830561452837,2.6240116369207,0.0349764299852289,0.140891309016871,FALSE,TRUE
24,12,"hours",170987,0.00531125552272593,0.000486367108832591,0.000973155852733498,0.0036970043440126,0.027976886757199,0.00416544820427358,0.673792248681054,2.62397004126,0.0370871556241625,0.140893542452083,FALSE,TRUE
25,12.5,"hours",170939,0.00530372668061752,0.000486367108832591,0.000958967608714278,0.0036970043440126,0.0263927867617589,0.00416544820427358,0.673753908267217,2.62393320001996,0.0365469520606311,0.140895520662816,FALSE,TRUE
26,13,"hours",170892,0.00521315679345769,0.000486367108832591,0.000904231578920278,0.0036970043440126,0.0248167990706809,0.00416544820427358,0.673712523711327,2.62388393933063,0.0344615691786639,0.140898165829534,FALSE,TRUE
27,13.5,"hours",170847,0.00516996548123849,0.000486367108832591,0.000959016631478793,0.0036970043440126,0.0232129111850157,0.00416544820427358,0.673665075755483,2.62384193785147,0.0365500915906575,0.14090042127461,FALSE,TRUE
28,14,"hours",170802,0.00510036269473346,0.000486367108832591,0.000966263752338659,0.0036970043440126,0.021605641767206,0.00416544820427358,0.67361759593201,2.6238185806368,0.0368266220640967,0.140901675569175,FALSE,TRUE
29,14.5,"hours",170758,0.00499021511400555,0.000486367108832591,0.000901448611759115,0.0036970043440126,0.0199851496312148,0.00416544820427358,0.673567065832141,2.6238198038203,0.0343563460587727,0.140901609883031,FALSE,TRUE
30,15,"hours",170714,0.00495429627066457,0.000486367108832591,0.00100319693508233,0.0036970043440126,0.0184084494350032,0.00416544820427358,0.673516502539918,2.62382169456785,0.0382341885944181,0.140901508348169,FALSE,TRUE
31,15.5,"hours",170670,0.00483666190005083,0.000486367108832591,0.00095930040918546,0.0036970043440126,0.0168276892989683,0.00416544820427358,0.673488430400769,2.62380699839155,0.0365613937981541,0.140902297550046,FALSE,TRUE
32,16,"hours",170626,0.00469916497727274,0.000486367108832591,0.000926682002580836,0.0036970043440126,0.0152784214750092,0.00416544820427358,0.67346033962252,2.62378479034558,0.0353185217778011,0.140903490164895,FALSE,TRUE
33,16.5,"hours",170583,0.00458439687831591,0.000486367108832591,0.000875145331551419,0.0036970043440126,0.0137306571447477,0.00416544820427358,0.673384132147698,2.62376159525096,0.0333546055836568,0.140904735807713,FALSE,TRUE
34,17,"hours",170540,0.00454400577579728,0.000486367108832591,0.000933124017798104,0.0036970043440126,0.0121954926925686,0.00416544820427358,0.673330421414572,2.62375946864848,0.0355643887691718,0.140904850013441,FALSE,TRUE
35,17.5,"hours",170497,0.00452654180854273,0.000486367108832591,0.000913773945030449,0.0036970043440126,0.0106859080660328,0.00416544820427358,0.673276676128766,2.62375353516644,0.0348269733716617,0.140905168662424,FALSE,TRUE
36,18,"hours",170454,0.00443218391939748,0.000486367108832591,0.000943406973194616,0.0036970043440126,0.0091566040161338,0.00416544820427358,0.673204672150051,2.62376528619003,0.0359562258926193,0.140904537592271,FALSE,TRUE
37,18.5,"hours",170411,0.00435208686903632,0.000486367108832591,0.000893531705119077,0.0036970043440126,0.00764907011575705,0.00416544820427358,0.673155187075705,2.62378077711596,0.0340551204930025,0.14090370568521,FALSE,TRUE
38,19,"hours",170368,0.00429054885519564,0.000486367108832591,0.000948574217322751,0.0036970043440126,0.00617823694362311,0.00416544820427358,0.673105665754243,2.62378158645823,0.0361529413202112,0.140903662221484,FALSE,TRUE
39,19.5,"hours",170325,0.00420732053123896,0.000486367108832591,0.00096288401526845,0.0036970043440126,0.00473087554308426,0.00416544820427358,0.67303352143681,2.62377797486435,0.0366983801408819,0.140903856173415,FALSE,TRUE
40,20,"hours",170282,0.00412827545645289,0.000486367108832591,0.0009571342687833,0.0036970043440126,0.00331413735989125,0.00416544820427358,0.672961324541823,2.6237780916536,0.0364792385388079,0.140903849901522,FALSE,TRUE
41,20.5,"hours",170239,0.00409963650318357,0.000486367108832591,0.000927784030124279,0.0036970043440126,0.00193940608590558,0.00416544820427358,0.672889075013152,2.6237879955553,0.0353604800271952,0.140903318037712,FALSE,TRUE
42,21,"hours",170196,0.00408536098418022,0.000486367108832591,0.000934637354883083,0.0036970043440126,0.000588580275161053,0.00416544820427358,0.672816772794589,2.62379414709332,0.03562159614993,0.140902987687056,FALSE,TRUE
43,21.5,"hours",170154,0.00408243782570628,0.000486367108832591,0.000938908478023137,0.0036970043440126,-0.000723046119720654,0.00416544820427358,0.672764012240701,2.62382328849317,0.0357839829435443,0.140901422753045,FALSE,TRUE
44,22,"hours",170112,0.00406743306707691,0.000486367108832591,0.000989214656883508,0.0036970043440126,-0.00196373427248113,0.00416544820427358,0.672711213990076,2.62384939939118,0.0377008930891019,0.140900020590756,FALSE,TRUE
45,22.5,"hours",170070,0.00406287432452634,0.000486367108832591,0.00090154529929487,0.0036970043440126,-0.00316204798267845,0.00416544820427358,0.672658378003694,2.62386569326796,0.034359430119002,0.140899145619305,FALSE,TRUE
46,23,"hours",170029,0.00413746887441224,0.000486367108832591,0.00102047403841388,0.0036970043440126,-0.00428773070806415,0.00416544820427358,0.672602475962994,2.62389898979742,0.0388915138266303,0.140897357649352,FALSE,TRUE
47,23.5,"hours",169988,0.00414415242227806,0.000486367108832591,0.000918319208579099,0.0036970043440126,-0.00537105381470746,0.00416544820427358,0.67254653496903,2.62394679139448,0.034997630729054,0.140894790859987,FALSE,TRUE
48,24,"hours",169948,0.00412760515614075,0.000486367108832591,0.000904040814726503,0.0036970043440126,-0.00640839106228116,0.00416544820427358,0.672487525623104,2.62396718502484,0.0344532058131644,0.140893695817221,FALSE,TRUE
49,24.5,"hours",169909,0.00411327916530091,0.000486367108832591,0.000933177593145817,0.0036970043440126,-0.00738123293618308,0.00416544820427358,0.672425446310529,2.62399966920946,0.0355631749537133,0.140891951603272,FALSE,TRUE
50,25,"hours",169870,0.00406676924625904,0.000486367108832591,0.000899816602676573,0.0036970043440126,-0.00832834304167589,0.00416544820427358,0.67236332582535,2.62402928386388,0.0342914085681084,0.140890361504227,FALSE,TRUE
51,25.5,"hours",169831,0.00407848172820158,0.000486367108832591,0.000929552980811987,0.0036970043440126,-0.00923908930248172,0.00416544820427358,0.672274214156951,2.6240603629605,0.0354242224734211,0.140888692813514,FALSE,TRUE
52,26,"hours",169792,0.00409128396043679,0.000486367108832591,0.000962403474632723,0.0036970043440126,-0.0101182366397072,0.00416544820427358,0.672185047380221,2.62410680203305,0.0366754689209712,0.140886199492654,FALSE,TRUE
53,26.5,"hours",169753,0.00407360741370288,0.000486367108832591,0.000963981721174623,0.0036970043440126,-0.0109740349872093,0.00416544820427358,0.672095825443579,2.62413320513469,0.0367352434429922,0.140884781945467,FALSE,TRUE
54,27,"hours",169714,0.00407871519357972,0.000486367108832591,0.000958153066425105,0.0036970043440126,-0.0118092603349931,0.00416544820427358,0.672006548295378,2.62416426986624,0.0365126938670628,0.140883114158133,FALSE,TRUE
55,27.5,"hours",169675,0.00412410166551869,0.000486367108832591,0.000969490469677758,0.0036970043440126,-0.0126156626010572,0.00416544820427358,0.671917215883903,2.62419548100142,0.0369442930870298,0.140881438550522,FALSE,TRUE
56,28,"hours",169636,0.00420117196107572,0.000486367108832591,0.000930057084147062,0.0036970043440126,-0.0133555963691701,0.00416544820427358,0.671827828157375,2.62422342467886,0.0354412309333333,0.140879938394156,FALSE,TRUE
57,28.5,"hours",169597,0.00416325480490531,0.000486367108832591,0.000787215927382512,0.0036970043440126,-0.0140840059301179,0.00416544820427358,0.671738385063946,2.62426282319747,0.0299976023904247,0.140877823338901,FALSE,TRUE
58,29,"hours",169558,0.00420356223925378,0.000486367108832591,0.000853149799751929,0.0036970043440126,-0.0147428542118477,0.00416544820427358,0.671648886551703,2.62429915612354,0.0325096244367259,0.14087587291205,FALSE,TRUE
59,29.5,"hours",169519,0.00426285240908308,0.000486367108832591,0.000851870512721398,0.0036970043440126,-0.0153707816504416,0.00416544820427358,0.671559332568666,2.62433706382749,0.0324604077907195,0.140873838005422,FALSE,TRUE
60,30,"hours",169480,0.00431105505862384,0.000486367108832591,0.000902126343051091,0.0036970043440126,-0.0159589948945169,0.00416544820427358,0.671469723062788,2.62438177332738,0.0343748136120955,0.140871438050161,FALSE,TRUE
61,30.5,"hours",169441,0.004329297298999,0.000486367108832591,0.000817966260850955,0.0036970043440126,-0.01646026982324,0.00416544820427358,0.671402822613661,2.62440894672324,0.0311676372644684,0.140869979453034,FALSE,TRUE
62,31,"hours",169402,0.00433041510515908,0.000486367108832591,0.000766795993941916,0.0036970043440126,-0.0169314735454349,0.00416544820427358,0.671335882425349,2.62443393188238,0.0292175765839124,0.140868638341409,FALSE,TRUE
63,31.5,"hours",169363,0.0043772878654349,0.000486367108832591,0.000820537464924165,0.0036970043440126,-0.0173402865116791,0.00416544820427358,0.671268902462539,2.62445951809531,0.0312650074907486,0.140867264993886,FALSE,TRUE
64,32,"hours",169324,0.0044581832678241,0.000486367108832591,0.000860981511709547,0.0036970043440126,-0.0177252283141141,0.00416544820427358,0.671201882689876,2.62449577469689,0.0328055971745271,0.140865318955965,FALSE,TRUE
65,32.5,"hours",169285,0.00448526196965293,0.000486367108832591,0.000810310807319858,0.0036970043440126,-0.0180728298758489,0.00416544820427358,0.67113050629008,2.62452203398189,0.0308746048548301,0.140863909547887,FALSE,TRUE
66,33,"hours",169246,0.00451204888927137,0.000486367108832591,0.00085673911693096,0.0036970043440126,-0.0183821124507475,0.00416544820427358,0.671059076484257,2.62455293194203,0.032643240168794,0.140862251205466,FALSE,TRUE
67,33.5,"hours",169207,0.00454214168997824,0.000486367108832591,0.000818787866329718,0.0036970043440126,-0.0186612459177013,0.00416544820427358,0.670991931244176,2.62455776448064,0.0311971745263433,0.140861991839002,FALSE,TRUE
68,34,"hours",169168,0.00458345177601993,0.000486367108832591,0.000874192468305335,0.0036970043440126,-0.0189153166770757,0.00416544820427358,0.670924746046239,2.62458933778996,0.0333077809818983,0.140860297296097,FALSE,TRUE
69,34.5,"hours",169129,0.00464006351497437,0.000486367108832591,0.000858760864850261,0.0036970043440126,-0.019154823695391,0.00416544820427358,0.670853176969188,2.62461406086774,0.0327195101807212,0.140858970434316,FALSE,TRUE
70,35,"hours",169090,0.00466910560837386,0.000486367108832591,0.000849163545079357,0.0036970043440126,-0.0193768942166147,0.00416544820427358,0.670781554265643,2.62463650442946,0.0323535675757869,0.140857765933429,FALSE,TRUE
71,35.5,"hours",169051,0.00470862569368391,0.000486367108832591,0.000842506725189818,0.0036970043440126,-0.0195975363019183,0.00416544820427358,0.670709877872339,2.62466804782052,0.0320995535374243,0.140856073097797,FALSE,TRUE
72,36,"hours",169012,0.00472056051934899,0.000486367108832591,0.000817374830405893,0.0036970043440126,-0.0198230570801623,0.00416544820427358,0.670638147725892,2.62468928676481,0.0311417749341823,0.140854933292676,FALSE,TRUE
