"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",520068,0.016693166432133,0.000171644053797624,0.00875379780922669,0.00101603712242508,-0.0773260984431251,0.00251697973397799,0.248346306863504,2.71371494765839,0.322576172445089,0.0374408197626578,TRUE,TRUE
1,0.25,"hours",520067,0.0185248380608929,0.000171644053797624,0.00979273045099882,0.00101603712242508,-0.0896251143591796,0.00251697973397799,0.248003763312944,2.71371655290136,0.36086047529647,0.0374407976153144,TRUE,TRUE
2,0.5,"hours",519418,0.0204765555619679,0.000171644053797624,0.010565857705934,0.00101603712242508,-0.0996602459587199,0.00251697973397799,0.247242168817454,2.71296011865499,0.389458644573523,0.0374512369510542,TRUE,TRUE
3,0.75,"hours",518807,0.0226960182108633,0.000171644053797624,0.0114238288277524,0.00101603712242508,-0.108738533601818,0.00251697973397799,0.246537239239524,2.71229951076182,0.421186110989037,0.0374603585774236,TRUE,TRUE
4,1,"hours",518230,0.0250284451781999,0.000171644053797624,0.0117951209740066,0.00101603712242508,-0.119424078261268,0.00251697973397799,0.2458632247872,2.71170451144527,0.434970732401816,0.0374685780894158,TRUE,TRUE
5,1.25,"hours",517690,0.0277840646875056,0.000171644053797624,0.0124062334416082,0.00101603712242508,-0.130929941154691,0.00251697973397799,0.245141293379971,2.71118584047612,0.457594358025619,0.0374757461202532,TRUE,TRUE
6,1.5,"hours",517163,0.0306282156613085,0.000171644053797624,0.0123323026785784,0.00101603712242508,-0.141634343180315,0.00251697973397799,0.244414494922523,2.71066966458518,0.454954096388047,0.0374828823924795,TRUE,TRUE
7,1.75,"hours",516645,0.0335382446290282,0.000171644053797624,0.01202028245278,0.00101603712242508,-0.150692570546733,0.00251697973397799,0.243808149412779,2.7101654645546,0.443525777668909,0.037489855719642,TRUE,TRUE
8,2,"hours",516134,0.0362382835863819,0.000171644053797624,0.0113226554506736,0.00101603712242508,-0.157401977607036,0.00251697973397799,0.243255977209961,2.70968138298404,0.417859292305595,0.0374965532407419,TRUE,TRUE
9,2.25,"hours",515632,0.0389664680773105,0.000171644053797624,0.0113523293398416,0.00101603712242508,-0.163523742354036,0.00251697973397799,0.242697809071834,2.70919109869282,0.419030217001641,0.0375033390193597,TRUE,TRUE
10,2.5,"hours",515139,0.0414384314114753,0.000171644053797624,0.0101929545102126,0.00101603712242508,-0.168602123632745,0.00251697973397799,0.24220404782574,2.70873600605332,0.376299295591524,0.0375096399263163,TRUE,TRUE
11,2.75,"hours",514649,0.0436630998223033,0.000171644053797624,0.00943908666841686,0.00101603712242508,-0.172546956925466,0.00251697973397799,0.241747651823937,2.70828047701306,0.348526925055677,0.0375159489960087,TRUE,TRUE
12,3,"hours",514165,0.0456994762859884,0.000171644053797624,0.00854685976388181,0.00101603712242508,-0.175251931862767,0.00251697973397799,0.241481925477822,2.70783177230138,0.315634813480966,0.0375221656241058,TRUE,TRUE
13,3.25,"hours",513685,0.0473355479941127,0.000171644053797624,0.007617766516272,0.00101603712242508,-0.177526365175241,0.00251697973397799,0.24123099018862,2.70740080761183,0.281368258990494,0.0375281384111471,TRUE,TRUE
14,3.5,"hours",513208,0.0487986726063907,0.000171644053797624,0.00710878588807429,0.00101603712242508,-0.179231793373291,0.00251697973397799,0.241026115157414,2.70697315913195,0.262610135755977,0.0375340671183787,TRUE,TRUE
15,3.75,"hours",512734,0.0500102426214797,0.000171644053797624,0.00627567790148609,0.00101603712242508,-0.180653959827427,0.00251697973397799,0.240840354240674,2.70656443326184,0.231868778897789,0.0375397352429034,TRUE,TRUE
16,4,"hours",512267,0.0511818186418398,0.000171644053797624,0.00567189665794832,0.00101603712242508,-0.181619294269149,0.00251697973397799,0.240610114365228,2.70615968387544,0.209592090656886,0.0375453499096563,TRUE,TRUE
17,4.25,"hours",511804,0.0520629842346318,0.000171644053797624,0.00495922887982836,0.00101603712242508,-0.18221997412693,0.00251697973397799,0.240406651642376,2.70576695518672,0.183283666404527,0.0375507994314673,TRUE,TRUE
18,4.5,"hours",511341,0.0527645737278912,0.000171644053797624,0.00448758876790789,0.00101603712242508,-0.182351473259401,0.00251697973397799,0.240218502388384,2.70540402949842,0.165874993863297,0.0375558368120512,TRUE,TRUE
19,4.75,"hours",510880,0.0533274061399762,0.000171644053797624,0.00402762207227703,0.00101603712242508,-0.183708399870259,0.00251697973397799,0.240085240684212,2.70504772426256,0.148892828623754,0.0375607836161955,TRUE,TRUE
20,5,"hours",510420,0.0538827208986503,0.000171644053797624,0.00377053756617673,0.00101603712242508,-0.183599573424034,0.00251697973397799,0.239904117448405,2.70470225909365,0.139406751833758,0.0375655811655054,TRUE,TRUE
21,5.25,"hours",509961,0.0543177408690321,0.000171644053797624,0.00354056645410816,0.00101603712242508,-0.183223701499193,0.00251697973397799,0.239701009862204,2.70436133319496,0.130920613700881,0.037570316878652,TRUE,TRUE
22,5.5,"hours",509504,0.0548375497423628,0.000171644053797624,0.00309777702366532,0.00101603712242508,-0.182983375101419,0.00251697973397799,0.239639610558581,2.7040285799411,0.11456154889209,0.0375749402192789,TRUE,TRUE
23,5.75,"hours",509051,0.0553631855222139,0.000171644053797624,0.00298500339987129,0.00101603712242508,-0.182681009227899,0.00251697973397799,0.239547644562164,2.70369491992454,0.110404594019602,0.0375795773013266,TRUE,TRUE
24,6,"hours",508599,0.0556821786727641,0.000171644053797624,0.00270104553327322,0.00101603712242508,-0.18227745976322,0.00251697973397799,0.239446099280197,2.70336590043919,0.0999141674767149,0.0375841510118928,TRUE,TRUE
25,6.25,"hours",508148,0.056010356863827,0.000171644053797624,0.00251030321221757,0.00101603712242508,-0.18160201310373,0.00251697973397799,0.239370774624056,2.70303515679926,0.092869795122831,0.0375887498122,TRUE,TRUE
26,6.5,"hours",507697,0.0562312104625011,0.000171644053797624,0.0022134148233901,0.00101603712242508,-0.181214305210199,0.00251697973397799,0.239280706730676,2.70271893572464,0.0818958565810562,0.037593147737083,TRUE,TRUE
27,6.75,"hours",507248,0.0564462101244136,0.000171644053797624,0.0022570329083571,0.00101603712242508,-0.180668464056872,0.00251697973397799,0.23915225258646,2.70240475335809,0.0835194248956396,0.0375975183274276,TRUE,TRUE
28,7,"hours",506800,0.056632799476982,0.000171644053797624,0.00183550330231119,0.00101603712242508,-0.180088055769956,0.00251697973397799,0.239036906934728,2.70209352949417,0.0679289329653514,0.0376018487641057,TRUE,TRUE
29,7.25,"hours",506353,0.0566639953311094,0.000171644053797624,0.00167628754178084,0.00101603712242508,-0.179457984657604,0.00251697973397799,0.238941562868295,2.70178160132442,0.0620437840334364,0.0376061900017019,TRUE,TRUE
30,7.5,"hours",505907,0.0567193189994928,0.000171644053797624,0.00157883509930956,0.00101603712242508,-0.178757050560891,0.00251697973397799,0.238779310868022,2.70148217715633,0.058443291340589,0.0376103581588163,TRUE,TRUE
31,7.75,"hours",505462,0.0567108113070618,0.000171644053797624,0.00138232430268026,0.00101603712242508,-0.17787061234538,0.00251697973397799,0.238632501307511,2.7011941913493,0.0511745622401831,0.0376143679591415,TRUE,TRUE
32,8,"hours",505018,0.056604354039858,0.000171644053797624,0.00138274022640816,0.00101603712242508,-0.177076688757623,0.00251697973397799,0.238552089397096,2.70088712202306,0.0511957799025841,0.0376186444128045,TRUE,TRUE
33,8.25,"hours",504574,0.0565001204483693,0.000171644053797624,0.00122008187686262,0.00101603712242508,-0.176261652582961,0.00251697973397799,0.238502378623733,2.70059036023565,0.0451783393300773,0.0376227782408445,TRUE,TRUE
