"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",316336,0.0316064983169828,0.00016802207144941,0.00527099201255965,0.000282992620651852,0.190544161371184,0.00309048677658348,0.27440157293621,0.294707821787392,1.7885483936569,0.0960248082102171,TRUE,TRUE
1,0.25,"hours",316335,0.0358894750236666,0.00016802207144941,0.00690208376939849,0.000282992620651852,0.221969049481593,0.00309048677658348,0.274458303200147,0.294708592844221,2.3420028926835,0.096024556977013,TRUE,TRUE
2,0.5,"hours",315799,0.0410235872844154,0.00016802207144941,0.00892384036248639,0.000282992620651852,0.269614865079621,0.00309048677658348,0.27402197630193,0.294309282532179,3.03213010670524,0.0961548403152762,TRUE,TRUE
3,0.75,"hours",315275,0.0469118882738868,0.00016802207144941,0.0111088736116464,0.000282992620651852,0.334136426350124,0.00309048677658348,0.273758661953641,0.293803117629165,3.78106049428239,0.0963204961660898,TRUE,TRUE
4,1,"hours",314758,0.053646506021376,0.00016802207144941,0.0124687763136445,0.000282992620651852,0.403533627808181,0.00309048677658348,0.273474232659575,0.29320585751579,4.25256726427201,0.0965167009450389,TRUE,TRUE
5,1.25,"hours",314248,0.0605052386329651,0.00016802207144941,0.0115316960934602,0.000282992620651852,0.457718301381162,0.00309048677658348,0.273212231296995,0.292547217869334,3.94182387973034,0.096733998262889,TRUE,TRUE
6,1.5,"hours",313741,0.0661809082552282,0.00016802207144941,0.00890500290307417,0.000282992620651852,0.489082520963772,0.00309048677658348,0.273068124269406,0.291892286683643,3.05078390534024,0.096951044464756,TRUE,TRUE
7,1.75,"hours",313237,0.0703093095269863,0.00016802207144941,0.00626806442394334,0.000282992620651852,0.498542161118425,0.00309048677658348,0.272854217382823,0.291271297747173,2.1519677607864,0.0971577436021494,TRUE,TRUE
8,2,"hours",312739,0.0723804504933497,0.00016802207144941,0.0045769180195766,0.000282992620651852,0.493637960203812,0.00309048677658348,0.272726478252822,0.290711170650016,1.57438670462605,0.0973449420671019,TRUE,TRUE
9,2.25,"hours",312244,0.0728662589196951,0.00016802207144941,0.00360810516404597,0.000282992620651852,0.47750347581649,0.00309048677658348,0.272606708831693,0.290150695658915,1.24352800735224,0.0975329802360777,TRUE,TRUE
10,2.5,"hours",311751,0.0719669571367685,0.00016802207144941,0.00310077190091262,0.000282992620651852,0.455551047407459,0.00309048677658348,0.27254835826975,0.289632993793747,1.07058655862969,0.0977073146760954,TRUE,TRUE
11,2.75,"hours",311261,0.0701673119285426,0.00016802207144941,0.00260350087491423,0.000282992620651852,0.430957166810418,0.00309048677658348,0.272465758257976,0.289159430307932,0.900368655499739,0.0978673323399784,TRUE,TRUE
12,3,"hours",310773,0.0679254147234786,0.00016802207144941,0.00230903361224044,0.000282992620651852,0.407078727135956,0.00309048677658348,0.272408195685725,0.288738987295421,0.799695820044548,0.0980098404107479,TRUE,TRUE
