"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",492087,0.0183401914953385,0.000185315568741763,0.0018419538160015,0.00140024351039023,0.108901078520195,0.00228247318965402,0.285622121027066,2.47051228038746,0.0745575656767273,0.0566782655365156,TRUE,TRUE
1,0.25,"hours",492086,0.0188915705961201,0.000185315568741763,0.001525446217157,0.00140024351039023,0.110159078036229,0.00228247318965402,0.28548479240216,2.470512929637,0.0617461337221635,0.0566782506414963,TRUE,TRUE
2,0.5,"hours",491246,0.0193694520637111,0.000185315568741763,0.00116192753256561,0.00140024351039023,0.110791623289151,0.00228247318965402,0.285319888718117,2.47043646523406,0.0470332894173631,0.0566800049341713,FALSE,TRUE
3,0.75,"hours",490435,0.0196152780404844,0.000185315568741763,0.000843782086472622,0.00140024351039023,0.11089203636142,0.00228247318965402,0.285187913740876,2.47036193898464,0.0341562130292304,0.0566817148650596,FALSE,TRUE
4,1,"hours",489637,0.0197233289832202,0.000185315568741763,0.000718200724930007,0.00140024351039023,0.110684585726461,0.00228247318965402,0.285038262533091,2.47031363870469,0.0290732607259779,0.0566828231221867,FALSE,TRUE
5,1.25,"hours",488858,0.0196596574840302,0.000185315568741763,0.000588441511887527,0.00140024351039023,0.110416138448916,0.00228247318965402,0.284870149065377,2.47025565194781,0.0238210774428768,0.0566841536942193,FALSE,TRUE
6,1.5,"hours",488088,0.0195038948412845,0.000185315568741763,0.000497433754910848,0.00140024351039023,0.110216745375455,0.00228247318965402,0.284709384590034,2.47017130055313,0.0201376218240192,0.0566860893443578,FALSE,TRUE
7,1.75,"hours",487327,0.0193016748620618,0.000185315568741763,0.000532375484176395,0.00140024351039023,0.110091142260066,0.00228247318965402,0.28454312441118,2.47007703316992,0.0215529911426763,0.0566882526976602,FALSE,TRUE
8,2,"hours",486574,0.0190567344505288,0.000185315568741763,0.000497362201891338,0.00140024351039023,0.110026385620383,0.00228247318965402,0.284372341895101,2.46995552919771,0.0201364840788405,0.0566910413502488,FALSE,TRUE
9,2.25,"hours",485828,0.0188278941752498,0.000185315568741763,0.000547857953074438,0.00140024351039023,0.109995500520879,0.00228247318965402,0.284199597837703,2.46982778980536,0.022182030477421,0.0566939734085908,FALSE,TRUE
10,2.5,"hours",485089,0.0185696971285143,0.000185315568741763,0.000490280768910445,0.00140024351039023,0.109959098118949,0.00228247318965402,0.283998547589927,2.46968150884274,0.0198519836325042,0.0566973314322771,FALSE,TRUE
11,2.75,"hours",484355,0.0182971841376216,0.000185315568741763,0.00048706323284442,0.00140024351039023,0.1099079542166,0.00228247318965402,0.283792276602643,2.46952392832974,0.0197229606588119,0.0567009492933842,FALSE,TRUE
12,3,"hours",483623,0.0180144301321588,0.000185315568741763,0.000480973801618489,0.00140024351039023,0.109844953194494,0.00228247318965402,0.28359589504799,2.469379349743,0.0194775177685254,0.0567042690518962,FALSE,TRUE
13,3.25,"hours",482895,0.0177371264112511,0.000185315568741763,0.000497939153822902,0.00140024351039023,0.109780062414218,0.00228247318965402,0.283428178441716,2.46921228806192,0.0201659110571547,0.056708105542812,FALSE,TRUE
14,3.5,"hours",482169,0.017476632589688,0.000185315568741763,0.000582945545132496,0.00140024351039023,0.109728573612652,0.00228247318965402,0.283224430632783,2.46905559501768,0.023610061527526,0.0567117043948218,FALSE,TRUE
15,3.75,"hours",481449,0.0172404736947693,0.000185315568741763,0.000511766974749861,0.00140024351039023,0.109705241195601,0.00228247318965402,0.283018529294444,2.46891331839376,0.0207284302343514,0.0567149725329852,FALSE,TRUE
16,4,"hours",480736,0.0170240031537898,0.000185315568741763,0.000527486065398541,0.00140024351039023,0.10972511534802,0.00228247318965402,0.282833938980147,2.46876565336785,0.0213663886922176,0.0567183648427724,FALSE,TRUE
17,4.25,"hours",480027,0.0168289627287685,0.000185315568741763,0.000505383596822728,0.00140024351039023,0.10973989920705,0.00228247318965402,0.282677962348657,2.46863126677867,0.0204722189021857,0.0567214524596627,FALSE,TRUE
18,4.5,"hours",479321,0.0166594123499126,0.000185315568741763,0.000497800722184749,0.00140024351039023,0.109755214360107,0.00228247318965402,0.282548337840487,2.46847784717662,0.0201663030014274,0.0567249777830413,FALSE,TRUE
19,4.75,"hours",478616,0.0165096608294211,0.000185315568741763,0.000492748205249249,0.00140024351039023,0.109775333788108,0.00228247318965402,0.282445270516808,2.46836172888572,0.0199625605713668,0.0567276462766394,FALSE,TRUE
20,5,"hours",477916,0.0163846252110003,0.000185315568741763,0.000507239453888531,0.00140024351039023,0.109807576938817,0.00228247318965402,0.282367041817206,2.46823012650512,0.0205507358670301,0.0567306709108563,FALSE,TRUE
21,5.25,"hours",477219,0.0162261836256077,0.000185315568741763,0.000499350687959588,0.00140024351039023,0.109805996562094,0.00228247318965402,0.282280585564209,2.46809060016121,0.0202322673214253,0.0567338780148011,FALSE,TRUE
22,5.5,"hours",476523,0.0161008099318805,0.000185315568741763,0.000504520784441631,0.00140024351039023,0.109774321663113,0.00228247318965402,0.282188195760119,2.46798319268269,0.0204426345340391,0.0567363470927116,FALSE,TRUE
23,5.75,"hours",475828,0.0159751089157467,0.000185315568741763,0.000534644912867144,0.00140024351039023,0.109690137280559,0.00228247318965402,0.282100982664283,2.46787647034008,0.0216641683363295,0.0567388006336182,FALSE,TRUE
24,6,"hours",475137,0.015798505609776,0.000185315568741763,0.000517965215254268,0.00140024351039023,0.109565116791992,0.00228247318965402,0.282002627126015,2.46777537574502,0.0209891556721565,0.0567411249886347,FALSE,TRUE
25,6.25,"hours",474449,0.0156101461449625,0.000185315568741763,0.000522220112319172,0.00140024351039023,0.109410090723197,0.00228247318965402,0.281885268521725,2.46766900694267,0.0211624861701439,0.0567435708132133,FALSE,TRUE
26,6.5,"hours",473765,0.0154435983379471,0.000185315568741763,0.000528023582142545,0.00140024351039023,0.109225696119081,0.00228247318965402,0.281751968580557,2.46755652422063,0.0213986418126458,0.0567461574495238,FALSE,TRUE
27,6.75,"hours",473083,0.0152550573417387,0.000185315568741763,0.000529089328741073,0.00140024351039023,0.109016010803287,0.00228247318965402,0.28162038835124,2.46743276610626,0.0214429076248348,0.0567490036455944,FALSE,TRUE
28,7,"hours",472406,0.0150748800345504,0.000185315568741763,0.000550665416886087,0.00140024351039023,0.108769164197313,0.00228247318965402,0.281457685878172,2.46731967273748,0.02231836526781,0.0567516048229238,FALSE,TRUE
29,7.25,"hours",471732,0.014867162261186,0.000185315568741763,0.000539012803914218,0.00140024351039023,0.108486389197639,0.00228247318965402,0.281274220102485,2.4671973234234,0.0218471704227655,0.0567544191579822,FALSE,TRUE
