"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",539492,0.0171081878928314,0.000180992944326675,0.000986033448176826,0.00164054669306153,-0.0929479354859026,0.00226872910185582,2.01021974615471,2.51312304190417,0.0392353828975169,0.0652792030356979,FALSE,TRUE
1,0.25,"hours",539491,0.0168345387870081,0.000180992944326675,0.000860578136727241,0.00164054669306153,-0.0921331220526198,0.00226872910185582,2.00995079644397,2.51312228906649,0.0342433848313408,0.0652792225909117,FALSE,TRUE
2,0.5,"hours",538567,0.0164670057972254,0.000180992944326675,0.00080305915508827,0.00164054669306153,-0.091095286842092,0.00226872910185582,2.00963945923881,2.51283298540051,0.0319583179524474,0.0652867382190963,FALSE,TRUE
3,0.75,"hours",537685,0.0161021823989485,0.000180992944326675,0.000761437585453884,0.00164054669306153,-0.0900572490977752,0.00226872910185582,2.00940191277048,2.51250952203428,0.0303058586953086,0.0652951433088796,FALSE,TRUE
4,1,"hours",536837,0.0157553920550946,0.000180992944326675,0.000769822688192257,0.00164054669306153,-0.0891251874371325,0.00226872910185582,2.00922901535799,2.5122112641609,0.0306432304947643,0.0653028953601754,FALSE,TRUE
5,1.25,"hours",536016,0.0154796949936742,0.000180992944326675,0.000740733603527666,0.00164054669306153,-0.0883334444031308,0.00226872910185582,2.00908104916517,2.51194061613718,0.0294884997984846,0.0653099313941719,FALSE,TRUE
6,1.5,"hours",535212,0.0152506297090094,0.000180992944326675,0.000780681484224388,0.00164054669306153,-0.0876489586154014,0.00226872910185582,2.00892391733459,2.51165498091074,0.0310823536734854,0.0653173586949694,FALSE,TRUE
7,1.75,"hours",534422,0.01503248805159,0.000180992944326675,0.000740771863108947,0.00164054669306153,-0.0869939431589279,0.00226872910185582,2.00875996370042,2.51138518911363,0.0294965450270253,0.0653243755746027,FALSE,TRUE
8,2,"hours",533647,0.0148688105301042,0.000180992944326675,0.00078341436211371,0.00164054669306153,-0.0863798181282616,0.00226872910185582,2.00860480592235,2.51109722263222,0.0311980896260364,0.0653318668140556,FALSE,TRUE
9,2.25,"hours",532887,0.0147224426865762,0.000180992944326675,0.000769097183779266,0.00164054669306153,-0.085783058872389,0.00226872910185582,2.00847173785123,2.51078839435533,0.030631700604811,0.0653399026676144,FALSE,TRUE
