"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",851870,0.0161924240896402,5.56205145332991e-05,0.000959220462061594,8.0643380041457e-05,0.149711735256748,0.00175930886319329,0.163088091300204,0.176907539093047,0.542215706000569,0.0455850442863499,TRUE,TRUE
1,0.08333333,"hours",851869,0.0167348196158283,5.56205145332991e-05,0.00100247683561511,8.0643380041457e-05,0.154922789723471,0.00175930886319329,0.163094865738109,0.176907714655572,0.566666545643227,0.0455849990479299,TRUE,TRUE
2,0.16666666,"hours",851768,0.0174097253392552,5.56205145332991e-05,0.00115395714608169,8.0643380041457e-05,0.160658395171935,0.00175930886319329,0.163103858663026,0.176897482041933,0.652331018373764,0.0455876359067343,TRUE,TRUE
3,0.24999999,"hours",851670,0.0180683028287738,5.56205145332991e-05,0.00118217552671568,8.0643380041457e-05,0.167228565996993,0.00175930886319329,0.163100903976629,0.176886719235483,0.668323507737111,0.0455904097209803,TRUE,TRUE
4,0.33333332,"hours",851577,0.018809600234057,5.56205145332991e-05,0.00124225658056965,8.0643380041457e-05,0.174716282418362,0.00175930886319329,0.163100565814898,0.176874166595026,0.70233918524345,0.0455936452416478,TRUE,TRUE
5,0.41666665,"hours",851486,0.019613217408457,5.56205145332991e-05,0.00131615042051342,8.0643380041457e-05,0.182866515776793,0.00175930886319329,0.16310314854192,0.176861258185935,0.744171128269224,0.0455969729428682,TRUE,TRUE
6,0.49999998,"hours",851399,0.0204748020876488,5.56205145332991e-05,0.00146127718548783,8.0643380041457e-05,0.191407527121021,0.00175930886319329,0.163096735154148,0.176855545340125,0.82625466036563,0.0455984458312378,TRUE,TRUE
7,0.58333331,"hours",851314,0.0213745833353544,5.56205145332991e-05,0.0014582212919203,8.0643380041457e-05,0.200394429739623,0.00175930886319329,0.163089784296973,0.176849478089296,0.824555044026769,0.045600010196659,TRUE,TRUE
8,0.66666664,"hours",851232,0.022299744718399,5.56205145332991e-05,0.00150949317762017,8.0643380041457e-05,0.210134901096554,0.00175930886319329,0.163086645805503,0.176834976936057,0.853616860066092,0.0456037495741679,TRUE,TRUE
9,0.74999997,"hours",851150,0.0232906917420896,5.56205145332991e-05,0.0015333849284197,8.0643380041457e-05,0.21984726957547,0.00175930886319329,0.163092705371903,0.176820471086618,0.867198757585343,0.0456074907763099,TRUE,TRUE
10,0.8333333,"hours",851069,0.0243291282818429,5.56205145332991e-05,0.00162101460700315,8.0643380041457e-05,0.229657639480373,0.00175930886319329,0.163087115100494,0.176803615575426,0.916844715945079,0.045611838750579,TRUE,TRUE
11,0.91666663,"hours",850989,0.0253917854973367,5.56205145332991e-05,0.00166533311210931,8.0643380041457e-05,0.240199436015276,0.00175930886319329,0.163086007851113,0.176785742249501,0.942006459864279,0.0456164501816235,TRUE,TRUE
12,0.99999996,"hours",850911,0.0264872482009161,5.56205145332991e-05,0.00164464862551417,8.0643380041457e-05,0.251524142745312,0.00175930886319329,0.163076709438485,0.176767028627832,0.930404633873684,0.0456212794136202,TRUE,TRUE
13,1.08333329,"hours",850833,0.027673324971838,5.56205145332991e-05,0.00188009547158818,8.0643380041457e-05,0.264385665690281,0.00175930886319329,0.163075524695305,0.176750834643883,1.06369821414207,0.0456254592539474,TRUE,TRUE
14,1.16666662,"hours",850755,0.0290251419723856,5.56205145332991e-05,0.002098437180722,8.0643380041457e-05,0.279962759154925,0.00175930886319329,0.163074339689379,0.176734635470004,1.18733782721279,0.0456296412002071,TRUE,TRUE
15,1.24999995,"hours",850677,0.030411223167816,5.56205145332991e-05,0.00234201329258277,8.0643380041457e-05,0.300124111313445,0.00175930886319329,0.163086410689376,0.176718431102589,1.32527958627201,0.045633825254278,TRUE,TRUE
