"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",252889,0.0170342753904118,0.00019875086166426,0.00501744769664769,0.000381399087276319,0.222250337583141,0.00348506788452579,0.381962306744456,0.420974501504323,1.19186498914262,0.0905990946989463,TRUE,TRUE
1,0.25,"hours",252888,0.0186191574063076,0.00019875086166426,0.00498051766710328,0.000381399087276319,0.258545720976003,0.00348506788452579,0.38202611776905,0.420975821245824,1.18308877036312,0.0905988106745935,TRUE,TRUE
2,0.5,"hours",252875,0.0202183953689039,0.00019875086166426,0.00438856223606321,0.000381399087276319,0.288810553627451,0.00348506788452579,0.382008955781786,0.420937858870477,1.04256771957724,0.0906069813486831,TRUE,TRUE
3,0.75,"hours",252862,0.021751483038383,0.00019875086166426,0.00393599624418073,0.000381399087276319,0.309864146887828,0.00348506788452579,0.381991791344638,0.420899888605599,0.935138343044069,0.0906151551951837,TRUE,TRUE
4,1,"hours",252849,0.0232561776501831,0.00019875086166426,0.00364522412061141,0.000381399087276319,0.322540887894967,0.00348506788452579,0.381974624457069,0.420880289364016,0.866095232475637,0.0906193748946151,TRUE,TRUE
5,1.25,"hours",252836,0.0245888047972367,0.00019875086166426,0.00302236226663555,0.000381399087276319,0.326423815619057,0.00348506788452579,0.381957455118541,0.420860686617525,0.718138415570815,0.0906235957417737,TRUE,TRUE
6,1.5,"hours",252823,0.0258496057512808,0.00019875086166426,0.00264824895566718,0.000381399087276319,0.325171124600128,0.00348506788452579,0.381956257556556,0.42084108036514,0.629275296358769,0.0906278177371375,TRUE,TRUE
7,1.75,"hours",252810,0.0270149471284005,0.00019875086166426,0.0023814328369115,0.000381399087276319,0.32120885123307,0.00348506788452579,0.38193908466304,0.420803086040701,0.565925706324588,0.090636000525773,TRUE,TRUE
8,2,"hours",252797,0.0280171980970971,0.00019875086166426,0.0020461530062843,0.000381399087276319,0.315176271357356,0.00348506788452579,0.381921909317189,0.420765083815033,0.486293441397762,0.0906441864943292,TRUE,TRUE
9,2.25,"hours",252784,0.0289398757904004,0.00019875086166426,0.00189467967273138,0.000381399087276319,0.309486042053493,0.00348506788452579,0.381920709372448,0.4207270736853,0.450334621001496,0.0906523756447396,TRUE,TRUE
10,2.5,"hours",252771,0.0297286122650434,0.00019875086166426,0.00193467115202473,0.000381399087276319,0.30403292057423,0.00348506788452579,0.381903530469487,0.420689055648668,0.459881502988381,0.0906605679789393,TRUE,TRUE
11,2.75,"hours",252758,0.0303940612625175,0.00019875086166426,0.00156128455827709,0.000381399087276319,0.299492816006897,0.00348506788452579,0.381902329244861,0.4206510297023,0.371159095790644,0.0906687634988651,TRUE,TRUE
12,3,"hours",252745,0.0311222767747231,0.00019875086166426,0.00155042878765166,0.000381399087276319,0.295662395342727,0.00348506788452579,0.381917108485065,0.420612995843354,0.368611717415663,0.0906769622064556,TRUE,TRUE
13,3.25,"hours",252732,0.0318308098131734,0.00019875086166426,0.00162015919097636,0.000381399087276319,0.292104493597215,0.00348506788452579,0.381899926268533,0.420574954068992,0.385224839306665,0.0906851641036507,TRUE,TRUE
14,3.5,"hours",252719,0.0325004350375491,0.00019875086166426,0.00137336253600517,0.000381399087276319,0.289658966430104,0.00348506788452579,0.381898724516761,0.420536904376371,0.326573606671163,0.0906933691923921,TRUE,TRUE
15,3.75,"hours",252706,0.0331674866518129,0.00019875086166426,0.0013654535976122,0.000381399087276319,0.288350930207004,0.00348506788452579,0.381881538740502,0.420498846762647,0.324722316868312,0.0907015774746232,TRUE,TRUE
16,4,"hours",252693,0.033679221264636,0.00019875086166426,0.00126997841264531,0.000381399087276319,0.288351506678431,0.00348506788452579,0.381864350508787,0.420460781224973,0.302044440136687,0.090709788952289,TRUE,TRUE
17,4.25,"hours",252680,0.0340860142082042,0.00019875086166426,0.0012957981495948,0.000381399087276319,0.289043107388215,0.00348506788452579,0.381847159821077,0.420422707760504,0.30821316871708,0.0907180036273362,TRUE,TRUE
18,4.5,"hours",252667,0.0345998632011558,0.00019875086166426,0.00131182464436685,0.000381399087276319,0.288679752304022,0.00348506788452579,0.381813978355861,0.420384626366389,0.312053429666461,0.0907262215017131,TRUE,TRUE
19,4.75,"hours",252654,0.0349693318560736,0.00019875086166426,0.00115113432516056,0.000381399087276319,0.28708995122882,0.00348506788452579,0.381780791310534,0.420346537039778,0.273853647818117,0.0907344425773696,TRUE,TRUE
20,5,"hours",252641,0.0352476123497514,0.00019875086166426,0.00117035774075402,0.000381399087276319,0.284069322407439,0.00348506788452579,0.381763590549071,0.420308439777819,0.278452115159213,0.0907426668562572,TRUE,TRUE
21,5.25,"hours",252628,0.0355573729883081,0.00019875086166426,0.00116085996020676,0.000381399087276319,0.280533547702711,0.00348506788452579,0.381730394111873,0.420270334577658,0.276217440227692,0.0907508943403293,TRUE,TRUE
22,5.5,"hours",252615,0.0357892555665468,0.00019875086166426,0.000915625078344418,0.000381399087276319,0.277926574680016,0.00348506788452579,0.381697192090449,0.420232221436439,0.217885500358498,0.0907591250315408,TRUE,TRUE
23,5.75,"hours",252602,0.0359088065031867,0.00019875086166426,0.000952688841678651,0.000381399087276319,0.275618592384957,0.00348506788452579,0.381663984483284,0.420194100351304,0.226725896646848,0.0907673589318482,TRUE,TRUE
24,6,"hours",252589,0.0361414519889448,0.00019875086166426,0.000980022438436645,0.000381399087276319,0.271345878316705,0.00348506788452579,0.381630771288864,0.420155971319395,0.233252055268697,0.0907755960432098,TRUE,TRUE
25,6.25,"hours",252576,0.0363402930231603,0.00019875086166426,0.000941656119185952,0.000381399087276319,0.265668521046202,0.00348506788452579,0.381629552708909,0.420117834337852,0.22414095337564,0.0907838363675854,TRUE,TRUE
26,6.5,"hours",252563,0.0364617662182034,0.00019875086166426,0.000948503863334116,0.000381399087276319,0.259275100936715,0.00348506788452579,0.381596331885105,0.42007968940381,0.225791412262816,0.0907920799069366,TRUE,TRUE
27,6.75,"hours",252550,0.0365331801361285,0.00019875086166426,0.000848488141457326,0.000381399087276319,0.253544465507666,0.00348506788452579,0.381563105470344,0.420041536514408,0.202001008875993,0.0908003266632267,TRUE,TRUE
28,7,"hours",252537,0.0366226146308084,0.00019875086166426,0.000789115442297206,0.000381399087276319,0.248432961346951,0.00348506788452579,0.38152987346311,0.420003375666778,0.187883119045042,0.0908085766384204,TRUE,TRUE
29,7.25,"hours",252524,0.0366105704525314,0.00019875086166426,0.000651538722003075,0.000381399087276319,0.243415900500495,0.00348506788452579,0.381496635861884,0.419965206858054,0.15514111916021,0.0908168298344844,TRUE,TRUE
30,7.5,"hours",252511,0.036620210494432,0.00019875086166426,0.000768826827645896,0.000381399087276319,0.238584042330221,0.00348506788452579,0.381479401011905,0.419927030085365,0.183085815525999,0.0908250862533868,TRUE,TRUE
31,7.75,"hours",252498,0.0365679211917606,0.00019875086166426,0.000719620327659709,0.000381399087276319,0.23438974218481,0.00348506788452579,0.381462163696232,0.419888845345843,0.171383530578668,0.0908333458970977,TRUE,TRUE
32,8,"hours",252485,0.0365310498977649,0.00019875086166426,0.000634404428834667,0.000381399087276319,0.230334060615816,0.00348506788452579,0.381444923914321,0.419850652636613,0.15110240387878,0.0908416087675884,TRUE,TRUE
33,8.25,"hours",252472,0.0363711741560117,0.00019875086166426,0.000702200013520171,0.000381399087276319,0.226447990177297,0.00348506788452579,0.381427681665632,0.419812451954803,0.167265170494698,0.0908498748668324,TRUE,TRUE
34,8.5,"hours",252459,0.0362077836742185,0.00019875086166426,0.000556871643132117,0.000381399087276319,0.222703713581205,0.00348506788452579,0.381410436949623,0.419774243297535,0.1326597932159,0.0908581441968044,TRUE,TRUE
35,8.75,"hours",252446,0.0361034956436034,0.00019875086166426,0.000573432170635546,0.000381399087276319,0.219531776975963,0.00348506788452579,0.38139318976575,0.419736026661933,0.136617334279339,0.0908664167594812,TRUE,TRUE
36,9,"hours",252433,0.03598730971122,0.00019875086166426,0.000589797184680885,0.000381399087276319,0.216976465514875,0.00348506788452579,0.381391956168462,0.419697802045117,0.140529014402006,0.090874692556841,TRUE,TRUE
37,9.25,"hours",252420,0.0357952677011653,0.00019875086166426,0.000614807843426712,0.000381399087276319,0.214762654247534,0.00348506788452579,0.38139072239136,0.419659569444206,0.146501566553328,0.0908829715908637,TRUE,TRUE
