"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",432997,0.0140259803093848,0.000124197307550453,0.00454504368291442,0.000267844849696991,0.227886099102474,0.00264271864231807,0.416691417777477,0.404944742490404,1.12238614457925,0.066143555303311,TRUE,TRUE
1,0.25,"hours",432996,0.0154013351528713,0.000124197307550453,0.00436951236177219,0.000267844849696991,0.260028330035698,0.00264271864231807,0.416692132335022,0.404945487165923,1.07903717914056,0.0661434336684541,TRUE,TRUE
2,0.5,"hours",432995,0.0167894405566635,0.000124197307550453,0.00405299767431266,0.000267844849696991,0.28645384505353,0.00264271864231807,0.416692846895274,0.404946231844429,1.0008730432809,0.0661433120335567,TRUE,TRUE
3,0.75,"hours",432994,0.0181900928113751,0.000124197307550453,0.00371356228342123,0.000267844849696991,0.305024619894247,0.00264271864231807,0.416693561458232,0.404946976525922,0.917049020906449,0.0661431903986188,TRUE,TRUE
4,1,"hours",432993,0.0195668252234978,0.000124197307550453,0.00345214272530936,0.000267844849696991,0.316665303032198,0.00264271864231807,0.416694276023896,0.404947721210401,0.852490962287872,0.0661430687636404,TRUE,TRUE
5,1.25,"hours",432992,0.0207922734686494,0.000124197307550453,0.0028739349540946,0.000267844849696991,0.321690606408492,0.00264271864231807,0.416694990592268,0.404948465897868,0.70970387496651,0.0661429471286216,TRUE,TRUE
6,1.5,"hours",432991,0.0219646910532868,0.000124197307550453,0.00260962249109986,0.000267844849696991,0.322857980348771,0.00264271864231807,0.416695705163345,0.404949210588321,0.644432047986593,0.0661428254935622,TRUE,TRUE
7,1.75,"hours",432990,0.0230789047416419,0.000124197307550453,0.00237724776251702,0.000267844849696991,0.322181193664324,0.00264271864231807,0.41669641973713,0.404949955281761,0.587047295970918,0.0661427038584623,TRUE,TRUE
8,2,"hours",432989,0.0240528058789962,0.000124197307550453,0.00205785308405604,0.000267844849696991,0.319934704527966,0.00264271864231807,0.41669713431362,0.404950699978188,0.508173731806583,0.0661425822233219,TRUE,TRUE
9,2.25,"hours",432988,0.0250303409856354,0.000124197307550453,0.00199667086669642,0.000267844849696991,0.317469892650256,0.00264271864231807,0.416697848892818,0.404951444677602,0.493064265590173,0.066142460588141,TRUE,TRUE
10,2.5,"hours",432987,0.0258859680217525,0.000124197307550453,0.00182834659720599,0.000267844849696991,0.314986678188212,0.00264271864231807,0.416698563474722,0.404952189380003,0.451496903870369,0.0661423389529197,TRUE,TRUE
11,2.75,"hours",432986,0.0266145849993566,0.000124197307550453,0.00153074812059528,0.000267844849696991,0.312891786079285,0.00264271864231807,0.416699278059332,0.404952934085391,0.378006427846378,0.0661422173176578,TRUE,TRUE
12,3,"hours",432985,0.0273721256443822,0.000124197307550453,0.00150929268435018,0.000267844849696991,0.311086688290494,0.00264271864231807,0.416699992646649,0.404953678793765,0.372707488136893,0.0661420956823555,TRUE,TRUE
13,3.25,"hours",432984,0.0281376735498677,0.000124197307550453,0.00156779799191153,0.000267844849696991,0.309321808387736,0.00264271864231807,0.416700707236673,0.404954423505127,0.38715418351065,0.0661419740470126,TRUE,TRUE
14,3.5,"hours",432983,0.0288091707356912,0.000124197307550453,0.00129109526332927,0.000267844849696991,0.308279398716006,0.00264271864231807,0.416701421829403,0.404955168219476,0.318824246398931,0.0661418524116293,TRUE,TRUE
15,3.75,"hours",432982,0.029497491618419,0.000124197307550453,0.00130468955926621,0.000267844849696991,0.307954969803677,0.00264271864231807,0.41670213642484,0.404955912936811,0.322180641789961,0.0661417307762055,TRUE,TRUE
16,4,"hours",432981,0.0300566371208438,0.000124197307550453,0.00114001020842047,0.000267844849696991,0.308334857931466,0.00264271864231807,0.416702851022984,0.404956657657134,0.281514129194954,0.0661416091407411,TRUE,TRUE
17,4.25,"hours",432980,0.0305428931452658,0.000124197307550453,0.0011445477193438,0.000267844849696991,0.309031314141579,0.00264271864231807,0.416703565623835,0.404957402380444,0.282634102405798,0.0661414875052363,TRUE,TRUE
18,4.5,"hours",432979,0.0310756084925887,0.000124197307550453,0.00115613294430961,0.000267844849696991,0.308752048058449,0.00264271864231807,0.416704280227392,0.404958147106741,0.285494427651277,0.066141365869691,TRUE,TRUE
