"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",424899,0.0019409421916583,0.000136313006914383,0.000152880731111082,0.000388936457324326,0.0338506445470045,0.00279118654112227,0.266329253173562,1.00502192226192,0.0152116812304955,0.0386993008519632,FALSE,TRUE
1,0.25,"hours",424899,0.0019416361210618,0.000136313006914383,0.000178555701421335,0.000388936457324326,0.0339489226166576,0.00279118654112227,0.26628567940965,1.00502192226192,0.0177663489189841,0.0386993008519632,FALSE,TRUE
2,0.5,"hours",424760,0.00198546117211973,0.000136313006914383,0.00018927876757302,0.000388936457324326,0.0340835353708504,0.00279118654112227,0.266287521738482,1.00479884670296,0.0188374785853009,0.0387078924901776,FALSE,TRUE
3,0.75,"hours",424630,0.00195457909025887,0.000136313006914383,0.000118660922170388,0.000388936457324326,0.0342165873724728,0.00279118654112227,0.266241404363057,1.00462718661882,0.0118114384869232,0.0387145064860662,FALSE,TRUE
4,1,"hours",424507,0.00198476932776992,0.000136313006914383,0.000157471310926693,0.000388936457324326,0.0344148130758853,0.00279118654112227,0.266235489754795,1.00454120905171,0.0156759433568034,0.0387178200177059,FALSE,TRUE
5,1.25,"hours",424387,0.00199285856476661,0.000136313006914383,0.000129388718614454,0.000388936457324326,0.034557790627283,0.00279118654112227,0.266195391850381,1.00447421393606,0.0128812384448816,0.0387204023685455,FALSE,TRUE
6,1.5,"hours",424271,0.00199163576959016,0.000136313006914383,0.000123014886683537,0.000388936457324326,0.0347883681236057,0.00279118654112227,0.266164244094478,1.00443006615341,0.0122472326176612,0.0387221042490101,FALSE,TRUE
7,1.75,"hours",424157,0.00202278292442748,0.000136313006914383,0.00014882753248191,0.000388936457324326,0.0350154480095123,0.00279118654112227,0.266143024898655,1.00437503753237,0.0148179242733433,0.0387242257911842,FALSE,TRUE
8,2,"hours",424045,0.00202699257220407,0.000136313006914383,0.000181174626884495,0.000388936457324326,0.0352155094441771,0.00279118654112227,0.266088243614659,1.00433549706571,0.018039253557583,0.0387257503553993,FALSE,TRUE
9,2.25,"hours",423935,0.00205087380186009,0.000136313006914383,0.000171162980671324,0.000388936457324326,0.0355283752187251,0.00279118654112227,0.266054477949566,1.0042853868628,0.0170432610999156,0.0387276826300631,FALSE,TRUE
10,2.5,"hours",423826,0.00202757555206201,0.000136313006914383,0.000136812173512135,0.000388936457324326,0.0356546864016019,0.00279118654112227,0.26601986279688,1.00422917065698,0.01362360081839,0.0387298505847902,FALSE,TRUE
11,2.75,"hours",423718,0.00204765634882409,0.000136313006914383,0.000154720363647609,0.000388936457324326,0.035730560967153,0.00279118654112227,0.265995672375143,1.00419153659474,0.0154074554514045,0.0387313020624757,FALSE,TRUE
12,3,"hours",423610,0.00208021827152427,0.000136313006914383,0.000161526512475474,0.000388936457324326,0.0359909147205323,0.00279118654112227,0.265971640434283,1.00414672553123,0.0160859472394356,0.0387330304860143,FALSE,TRUE
13,3.25,"hours",423502,0.00210392853018249,0.000136313006914383,0.000149558422946505,0.000388936457324326,0.0362282318406004,0.00279118654112227,0.265958359915427,1.00410017617234,0.0148947711090567,0.0387348261213301,FALSE,TRUE
14,3.5,"hours",423394,0.00207135978987494,0.000136313006914383,0.000176229207156098,0.000388936457324326,0.0364080649044011,0.00279118654112227,0.265901312151746,1.00406072461791,0.0175516483052518,0.0387363480901353,FALSE,TRUE
15,3.75,"hours",423288,0.00210393118211605,0.000136313006914383,0.000179386903297107,0.000388936457324326,0.036751444676347,0.00279118654112227,0.265865146670407,1.00402826506387,0.0178667184519647,0.0387376004100428,FALSE,TRUE
16,4,"hours",423182,0.00211027075006065,0.000136313006914383,0.00015587325312727,0.000388936457324326,0.0370082933107186,0.00279118654112227,0.265883694249863,1.00400101543375,0.0155252087130539,0.0387386517887433,FALSE,TRUE
17,4.25,"hours",423078,0.00210051744929496,0.000136313006914383,0.00014799768190521,0.000388936457324326,0.0373928712030772,0.00279118654112227,0.265857660700412,1.00398493480683,0.0147410261622786,0.0387392722580205,FALSE,TRUE
18,4.5,"hours",422976,0.00213970747367465,0.000136313006914383,0.000180656056466555,0.000388936457324326,0.0378156744794033,0.00279118654112227,0.265841419613308,1.00398142146889,0.0179939640917103,0.0387394078224363,FALSE,TRUE
19,4.75,"hours",422874,0.00214833412028947,0.000136313006914383,0.000127829741072505,0.000388936457324326,0.0382174619836724,0.00279118654112227,0.265814389340414,1.00397788567032,0.0127323263686388,0.0387395442544679,FALSE,TRUE
20,5,"hours",422772,0.00218042991027811,0.000136313006914383,0.000188079011230302,0.000388936457324326,0.038649764522532,0.00279118654112227,0.265772271387662,1.00396717564722,0.0187335817138697,0.038739957516399,FALSE,TRUE
21,5.25,"hours",422670,0.00217844663205402,0.000136313006914383,0.000131941588757289,0.000388936457324326,0.0391080125931271,0.00279118654112227,0.265734247209481,1.00395643983894,0.0131421626996543,0.0387403717821386,FALSE,TRUE
22,5.5,"hours",422570,0.00218533097971996,0.000136313006914383,0.000159573523543566,0.000388936457324326,0.0396062051400844,0.00279118654112227,0.265709505460087,1.0039422724131,0.0158946911519137,0.0387409184782577,FALSE,TRUE
23,5.75,"hours",422471,0.0022262016942427,0.000136313006914383,0.000216923356137988,0.000388936457324326,0.0400831543743321,0.00279118654112227,0.265724652494034,1.00393074592563,0.0216074024048326,0.0387413632765799,FALSE,TRUE
