Analysis_ID,rows,lag_step_hours,max_lag_steps,max_lag_hours,min_complete_windows,table_bytes,png_bytes,pdf_bytes,table_md5,png_md5,pdf_md5
Angelo_DRY_Tair_Tstream,73,1,72,72,40087,15966,802449,408569,f5c16dec354d3a67dff50bda408c4ce0,1555fe10f5fe2eeb353576182830ad07,057911693dbb837dba19a0408a4a3fa1
Angelo_DRY_Q_Tstream,73,1,72,72,40170,16021,726298,340898,c11701237d059720c58ed90b82816a28,be535980156f917934179d833cb23dea,5eafacf3aee15ecf4f4444086fe0002e
Angelo_ELDER_Tair_Tstream,73,0.5,72,36,170099,16232,687168,510002,38944048613c019145d1134087ff2c29,a36be641d8705fd4e2f9031f562355ee,daf5d367ef2f363613d4bfb59a374efc
Angelo_ELDER_Q_Tstream,73,0.5,72,36,169012,16626,587992,377609,aa3e62848567266f3ba48846059c9cba,f12331d7d4e22759152484b7b00bbf52,ca5ddc919540fed54f82324d1af88e68
Angelo_ELDER_P_Q,73,0.5,72,36,169033,16412,484041,272432,a1036c889256bcb92e02a1b667c1b6e3,f7f910e3871b9a1b1baac23ff795606d,bdd3ecc7a9078e3098ef8ac8f4a4b3ec
Atlanta_NB_P_Q,73,0.25,72,18,279706,16458,479776,200099,597e12a13218241cec6a2546ceed7cc5,e3a5260137c6d6e2926264a045d52d58,b2fff34defe7dd45f0078038f7d9fa5d
Atlanta_RC_P_Q,73,0.25,72,18,309752,16586,522570,273958,c14011b7f7efc6a62d6005a8b1e4c1f5,b3942f37257002281d990613871cc696,147d94edcff13f3b02dd091038d4a7ed
Atlanta_CC_P_Q,73,0.25,72,18,285659,16539,552078,301008,d9da3aa0603040ee0f28bbbb444194d8,16f1bf4c9e60fb7dea9536c6409f4090,9205eb4cdd12d196e318749c3e066616
Atlanta_NB_Q_Tstream,73,0.25,72,18,481040,16775,586648,424197,2cb26dbde77325eacb5a2ae573f7ea44,160fb615cb7f594e8b8ee6cd3d72fcce,24c2ffa25168f2ee548802c5f821fb72
Atlanta_RC_Q_Tstream,73,0.25,72,18,506126,16752,589415,422308,de2aa09ed41846fe2b1fa162de8b44e3,f0d02b86b11c6c968a23ec88c9bfba46,e44c19aa66e810203015201c2db212bc
Atlanta_CC_Q_Tstream,73,0.25,72,18,445581,16668,637322,429215,31aefdaedd334b28c7e6120446eb85c6,b2a45db4273b08cc83a9479e1c1fd5ba,09c5b61917b7a6e83f84d2094197c204
Atlanta_NB_P_Cond,73,0.25,72,18,467298,16576,611069,266692,3f7a7a7ee84808bd4bb10d3e1fa2107d,cbe886d66ad460c3473aab5afd9239f2,66a56426c7688f25552cf8f188127cd5
Atlanta_RC_P_Cond,73,0.25,72,18,462972,16674,580680,303965,8577d9136fa5f4bf52c4029de2a2b978,99b1a412b611e294922c0a274067eb0f,bc647a8fc850ddb97c25f111587413f6
Atlanta_CC_P_Cond,73,0.25,72,18,487996,16581,587409,310102,f29b45c3e04483b3273347d743f641df,e25d61c7a7d64c22270727eefb4832c4,cea53e879a6efd7adb60096f3390b455
Atlanta_NB_Cond_Tstream,73,0.25,72,18,504493,16554,737651,410054,80d3988909e8eac455027aba9ff4431c,5f963c684d3c935944b1e3271e465acd,1b6dc515e498e915a40f5fb35d84f6c0
Atlanta_RC_Cond_Tstream,73,0.25,72,18,496351,16723,670509,442176,94e081c4871c600a1fe977a625c520f7,8db4fa2cd7cd53564d1b51927d947d93,09472b3fd528aafcaec2f18bd3795614
Atlanta_CC_Cond_Tstream,73,0.25,72,18,507835,16634,685071,447051,860a5b0817403724776cc7e49e05c448,2928557f5d6558dd9eae1262bd677df4,08b1c7bd4c4f48e0d762b8162ecc998d
Baltimore_P_Q,73,0.08333333,72,5.99999976,846477,16965,514823,269696,9300741c834d45ddb35f515b4912f4cd,2109f83cf7eb69ec66c4bba50eb99f66,6d12ad5b914b62225f99758254c1aac7
HB_w3_P_Q_full,73,0.25,72,18,432925,16625,514175,301648,e013c29e9a2426e82fb279e738006b96,d56bcb8ecdb4532b434340caa8821b71,74fddc28cae6a29f9b818af3636554a9
HB_w3_P_Q_GS,73,0.25,72,18,251965,16545,491644,198315,6fbb07ba2400201b26e2a23c90e51cd1,fbd448ee83724a4e8f12292bfc1ee739,13b296a9cbfe30a9fcffd4381c6ed2b0
HB_w8_P_Q_full,73,0.25,72,18,1905452,16720,502901,338663,e796ec10402ca46f656df172c366a40f,77c86d2fba0921e16f1521ee2a59b1fe,460e867f61491235b86670a3703b506c
HB_w8_P_Q_GS,73,0.25,72,18,1108530,16712,510545,252838,87ddb2a082ca563c1c72b9ecace612b6,3ea1d1fab2efb097ea659237d5f97bb8,a6fa426484549d5bdf38494737c09def
Konza_P_Q,73,0.25,72,18,515961,16767,445717,234471,56a43d5cfe49fb73e186cf8e3fc8ff2e,d5fbfea885eb7d85a1e408f09c3a1aae,1f9c56614674fd9ee6b8402baa96c53b
Starkey_P_Q,73,0.25,72,18,418293,16828,545702,284988,a12f208cdf9e4451790aec589106f0bb,4b1904602bd626e696726af76d7accc0,444d8049b665dadadd4dcbf012b74503
HJA_GSWS02_P_Q,73,0.5,72,36,325318,16404,476800,211273,72319935fd5b435d0cd4cb48dcf140de,871cfe622df2f857bcf3fb29097b2919,8129f2b1754ef819275d1c3b44bb146d
