"","date","P","Q"
"1",2009-02-05,NA,138.752565
"2",2009-02-06,0.0972,144.415935
"3",2009-02-07,0,138.752565
"4",2009-02-08,0,144.415935
"5",2009-02-09,0.0976,141.58425
"6",2009-02-10,0,141.58425
"7",2009-02-11,2.6224,141.58425
"8",2009-02-12,0,141.58425
"9",2009-02-13,0.9346,141.58425
"10",2009-02-14,0.3217,113.2674
"11",2009-02-15,0.3763,141.58425
"12",2009-02-16,0.3328,155.742675
"13",2009-02-17,0.791,135.92088
"14",2009-02-18,0,161.406045
"15",2009-02-19,0,175.56447
"16",2009-02-20,0,169.9011
"17",2009-02-21,0.8553,169.9011
"18",2009-02-22,0,169.9011
"19",2009-02-23,0,155.742675
"20",2009-02-24,0,169.9011
"21",2009-02-25,0,167.069415
"22",2009-02-26,0.367,155.742675
"23",2009-02-27,0,138.752565
"24",2009-02-28,0,167.069415
"25",2009-03-01,0,155.742675
"26",2009-03-02,0,167.069415
"27",2009-03-03,0,184.059525
"28",2009-03-04,0,189.722895
"29",2009-03-05,0,181.22784
"30",2009-03-06,0,167.069415
"31",2009-03-07,0.1184,155.742675
"32",2009-03-08,0.0922,147.24762
"33",2009-03-09,0.7746,161.406045
"34",2009-03-10,0.7176,144.415935
"35",2009-03-11,0.6442,189.722895
"36",2009-03-12,0,155.742675
"37",2009-03-13,0,150.079305
"38",2009-03-14,0,150.079305
"39",2009-03-15,0,150.079305
"40",2009-03-16,0.0208,161.406045
"41",2009-03-17,0.6665,172.732785
"42",2009-03-18,0,184.059525
"43",2009-03-19,0,186.89121
"44",2009-03-20,0,215.20806
"45",2009-03-21,0,252.019965
"46",2009-03-22,0,339.8022
"47",2009-03-23,0.2396,368.11905
"48",2009-03-24,0.0898,311.48535
"49",2009-03-25,8e-04,311.48535
"50",2009-03-26,20.4036,226.5348
"51",2009-03-27,7.7144,169.9011
"52",2009-03-28,1.4928,169.9011
"53",2009-03-29,0.4934,198.21795
"54",2009-03-30,0.1178,198.21795
"55",2009-03-31,0.3708,189.722895
"56",2009-04-01,4.3134,215.20806
"57",2009-04-02,2.1076,220.87143
"58",2009-04-03,5.9726,203.88132
"59",2009-04-04,4.9269,206.713005
"60",2009-04-05,1.4047,189.722895
"61",2009-04-06,0,201.049635
"62",2009-04-07,0,203.88132
"63",2009-04-08,0,252.019965
"64",2009-04-09,0.2515,311.48535
"65",2009-04-10,0.3244,311.48535
"66",2009-04-11,0.2604,283.1685
"67",2009-04-12,2.6216,283.1685
"68",2009-04-13,0.7312,283.1685
"69",2009-04-14,0,311.48535
"70",2009-04-15,0,311.48535
"71",2009-04-16,3,339.8022
"72",2009-04-17,0,277.50513
"73",2009-04-18,2,283.1685
"74",2009-04-19,33,509.7033
"75",2009-04-20,0,538.02015
"76",2009-04-21,0,651.28755
"77",2009-04-22,0,849.5055
"78",2009-04-23,0,1076.0403
"79",2009-04-24,0,1274.25825
"80",2009-04-25,0,1274.25825
"81",2009-04-26,0,1104.35715
"82",2009-04-27,8,1019.4066
"83",2009-04-28,0,991.08975
"84",2009-04-29,0,1132.674
"85",2009-04-30,0,1387.52565
"86",2009-05-01,0,1444.15935
"87",2009-05-02,0,1500.79305
"88",2009-05-03,2,1642.3773
"89",2009-05-04,1,1642.3773
"90",2009-05-05,0,1670.69415
"91",2009-05-06,0,1953.86265
"92",2009-05-07,0,2605.1502
"93",2009-05-08,0,2916.63555
"94",2009-05-09,0,2633.46705
"95",2009-05-10,2,2548.5165
"96",2009-05-11,0,2548.5165
"97",2009-05-12,0,3341.3883
"98",2009-05-13,0,4020.9927
"99",2009-05-14,0,3936.04215
"100",2009-05-15,0,4247.5275
"101",2009-05-16,0,4700.5971
"102",2009-05-17,0,5436.8352
"103",2009-05-18,0,6258.02385
"104",2009-05-19,0,7390.69785
"105",2009-05-20,0,8466.73815
"106",2009-05-21,0,8551.6887
"107",2009-05-22,0,7758.8169
"108",2009-05-23,0,6852.6777
"109",2009-05-24,20.5,7135.8462
"110",2009-05-25,1,8013.66855
"111",2009-05-26,14.5,7503.96525
"112",2009-05-27,0,6003.1722
"113",2009-05-28,0,5635.05315
"114",2009-05-29,0,6258.02385
"115",2009-05-30,0,7957.03485
"116",2009-05-31,0,8240.20335
"117",2009-06-01,0,9174.6594
"118",2009-06-02,14,8126.93595
"119",2009-06-03,0,6711.09345
"120",2009-06-04,0,7277.43045
"121",2009-06-05,0,6965.9451
"122",2009-06-06,0,6852.6777
"123",2009-06-07,2,6371.29125
"124",2009-06-08,0,5493.4689
"125",2009-06-09,0,5465.15205
"126",2009-06-10,5,5408.51835
"127",2009-06-11,3,5436.8352
"128",2009-06-12,1,5097.033
"129",2009-06-13,2,5550.1026
"130",2009-06-14,0,6258.02385
"131",2009-06-15,5,6342.9744
"132",2009-06-16,0,6003.1722
"133",2009-06-17,0,6512.8755
"134",2009-06-18,0,7135.8462
"135",2009-06-19,0,7475.6484
"136",2009-06-20,0,7787.13375
"137",2009-06-21,0,8410.10445
"138",2009-06-22,0,8098.6191
"139",2009-06-23,0,8183.56965
"140",2009-06-24,1,8183.56965
"141",2009-06-25,0,8693.27295
"142",2009-06-26,4.5,11751.49275
"143",2009-06-27,0,10845.35355
"144",2009-06-28,0,8664.9561
"145",2009-06-29,0,7277.43045
"146",2009-06-30,0,6456.2418
"147",2009-07-01,0,5918.22165
"148",2009-07-02,15,6116.4396
"149",2009-07-03,0,6427.92495
"150",2009-07-04,0,6059.8059
"151",2009-07-05,2,5521.78575
"152",2009-07-06,0,4728.91395
"153",2009-07-07,0,4332.47805
"154",2009-07-08,0,4360.7949
"155",2009-07-09,0,3992.67585
"156",2009-07-10,0,3596.23995
"157",2009-07-11,0,3511.2894
"158",2009-07-12,0,3681.1905
"159",2009-07-13,0,3398.022
"160",2009-07-14,0,3284.7546
"161",2009-07-15,0,3143.17035
"162",2009-07-16,0,2803.36815
"163",2009-07-17,0,2576.83335
"164",2009-07-18,0,2406.93225
"165",2009-07-19,0,2321.9817
"166",2009-07-20,0,2406.93225
"167",2009-07-21,0,2350.29855
"168",2009-07-22,0,2321.9817
"169",2009-07-23,0,2152.0806
"170",2009-07-24,0,2038.8132
"171",2009-07-25,1,2010.49635
"172",2009-07-26,0,2095.4469
"173",2009-07-27,1,2095.4469
"174",2009-07-28,3,2095.4469
"175",2009-07-29,0,2010.49635
"176",2009-07-30,4,1925.5458
"177",2009-07-31,0,1415.8425
"178",2009-08-01,1,1330.89195
"179",2009-08-02,0,1217.62455
"180",2009-08-03,0,1160.99085
"181",2009-08-04,0,1132.674
"182",2009-08-05,0,1076.0403
"183",2009-08-06,1,1104.35715
"184",2009-08-07,0,1104.35715
"185",2009-08-08,0,1047.72345
"186",2009-08-09,0,1019.4066
"187",2009-08-10,0,962.7729
"188",2009-08-11,0,906.1392
"189",2009-08-12,0,849.5055
"190",2009-08-13,0,849.5055
"191",2009-08-14,0,821.18865
"192",2009-08-15,0,877.82235
"193",2009-08-16,0,821.18865
"194",2009-08-17,0,736.2381
"195",2009-08-18,0,736.2381
"196",2009-08-19,0,707.92125
"197",2009-08-20,0,679.6044
"198",2009-08-21,0,651.28755
"199",2009-08-22,0,651.28755
"200",2009-08-23,0,651.28755
"201",2009-08-24,0,707.92125
"202",2009-08-25,0,707.92125
"203",2009-08-26,0,651.28755
"204",2009-08-27,0,622.9707
"205",2009-08-28,0,594.65385
"206",2009-08-29,0,566.337
"207",2009-08-30,0,566.337
"208",2009-08-31,0,509.7033
"209",2009-09-01,0,453.0696
"210",2009-09-02,0,424.75275
"211",2009-09-03,0,424.75275
"212",2009-09-04,0,453.0696
"213",2009-09-05,0,453.0696
"214",2009-09-06,0,424.75275
"215",2009-09-07,0,396.4359
"216",2009-09-08,0,368.11905
"217",2009-09-09,1,368.11905
"218",2009-09-10,0,368.11905
"219",2009-09-11,0,368.11905
"220",2009-09-12,0,368.11905
"221",2009-09-13,0,396.4359
"222",2009-09-14,0,368.11905
"223",2009-09-15,0,339.8022
"224",2009-09-16,0,339.8022
"225",2009-09-17,0,339.8022
"226",2009-09-18,0,311.48535
"227",2009-09-19,0,311.48535
"228",2009-09-20,0,283.1685
"229",2009-09-21,0,396.4359
"230",2009-09-22,0,368.11905
"231",2009-09-23,0,396.4359
"232",2009-09-24,0,368.11905
"233",2009-09-25,0,368.11905
"234",2009-09-26,0,368.11905
"235",2009-09-27,0,368.11905
"236",2009-09-28,0,311.48535
"237",2009-09-29,0,283.1685
"238",2009-09-30,0,271.84176
"239",2009-10-01,0,283.1685
"240",2009-10-02,0,283.1685
"241",2009-10-03,0,283.1685
"242",2009-10-04,0,311.48535
"243",2009-10-05,0,339.8022
"244",2009-10-06,0,311.48535
"245",2009-10-07,0,311.48535
"246",2009-10-08,1,339.8022
"247",2009-10-09,0,311.48535
"248",2009-10-10,0,424.75275
"249",2009-10-11,0,424.75275
"250",2009-10-12,6,453.0696
"251",2009-10-13,0,481.38645
"252",2009-10-14,0,566.337
"253",2009-10-15,0,679.6044
"254",2009-10-16,0,622.9707
"255",2009-10-17,0,594.65385
"256",2009-10-18,0,594.65385
"257",2009-10-19,0,594.65385
"258",2009-10-20,0,594.65385
"259",2009-10-21,3,594.65385
"260",2009-10-22,0,481.38645
"261",2009-10-23,0,481.38645
"262",2009-10-24,0,453.0696
"263",2009-10-25,1,453.0696
"264",2009-10-26,1,311.48535
"265",2009-10-27,0,424.75275
"266",2009-10-28,1,877.82235
"267",2009-10-29,0,481.38645
"268",2009-10-30,19.5,283.1685
"269",2009-10-31,0,424.75275
"270",2009-11-01,0,311.48535
"271",2009-11-02,0,269.010075
"272",2009-11-03,0,263.346705
"273",2009-11-04,0,266.17839
"274",2009-11-05,0,269.010075
"275",2009-11-06,0,263.346705
"276",2009-11-07,0,263.346705
"277",2009-11-08,0,260.51502
"278",2009-11-09,0,246.356595
"279",2009-11-10,0,223.703115
"280",2009-11-11,0,226.5348
"281",2009-11-12,0,232.19817
"282",2009-11-13,0,235.029855
"283",2009-11-14,2,209.54469
"284",2009-11-15,0,192.55458
"285",2009-11-16,11.5,169.9011
"286",2009-11-17,0,198.21795
"287",2009-11-18,0,198.21795
"288",2009-11-19,0,218.039745
"289",2009-11-20,0,198.21795
"290",2009-11-21,0,203.88132
"291",2009-11-22,0,189.722895
"292",2009-11-23,0,169.9011
"293",2009-11-24,0,113.2674
"294",2009-11-25,0,169.9011
"295",2009-11-26,0,184.059525
"296",2009-11-27,0,184.059525
"297",2009-11-28,0,175.56447
"298",2009-11-29,0,167.069415
"299",2009-11-30,0,161.406045
"300",2009-12-01,0,158.57436
"301",2009-12-02,0,164.23773
"302",2009-12-03,0,141.58425
"303",2009-12-04,4,113.2674
"304",2009-12-05,0,113.2674
"305",2009-12-06,0,113.2674
"306",2009-12-07,0,84.95055
"307",2009-12-08,0,84.95055
"308",2009-12-09,0,84.95055
"309",2009-12-10,0,84.95055
"310",2009-12-11,1,113.2674
"311",2009-12-12,0,113.2674
"312",2009-12-13,0,141.58425
"313",2009-12-14,0,141.58425
"314",2009-12-15,0,141.58425
"315",2009-12-16,0,169.9011
"316",2009-12-17,0,141.58425
"317",2009-12-18,0,141.58425
"318",2009-12-19,0,113.2674
"319",2009-12-20,0,141.58425
"320",2009-12-21,0,141.58425
"321",2009-12-22,0,141.58425
"322",2009-12-23,0,113.2674
"323",2009-12-24,0,113.2674
"324",2009-12-25,0,113.2674
"325",2009-12-26,0,113.2674
"326",2009-12-27,0,113.2674
"327",2009-12-28,0,113.2674
"328",2009-12-29,0,113.2674
"329",2009-12-30,0,113.2674
"330",2009-12-31,0,113.2674
"331",2010-01-01,0,113.2674
"332",2010-01-02,0,113.2674
"333",2010-01-03,0,127.425825
"334",2010-01-04,0,141.58425
"335",2010-01-05,0,135.92088
"336",2010-01-06,0,116.099085
"337",2010-01-07,0,110.435715
"338",2010-01-08,0,110.435715
"339",2010-01-09,0,96.27729
"340",2010-01-10,0,96.27729
"341",2010-01-11,0,110.435715
"342",2010-01-12,0,101.94066
"343",2010-01-13,0,99.108975
"344",2010-01-14,0,93.445605
"345",2010-01-15,0,90.61392
"346",2010-01-16,0,93.445605
"347",2010-01-17,0,90.61392
"348",2010-01-18,0,93.445605
"349",2010-01-19,0,90.61392
"350",2010-01-20,0,90.61392
"351",2010-01-21,0,93.445605
"352",2010-01-22,0,84.95055
"353",2010-01-23,0,84.95055
"354",2010-01-24,0,84.95055
"355",2010-01-25,0,84.95055
"356",2010-01-26,0,84.95055
"357",2010-01-27,0,84.95055
"358",2010-01-28,0,84.95055
"359",2010-01-29,4,84.95055
"360",2010-01-30,0,84.95055
"361",2010-01-31,0,84.95055
"362",2010-02-01,0,76.455495
"363",2010-02-02,0,84.95055
"364",2010-02-03,0,82.118865
"365",2010-02-04,0,82.118865
"366",2010-02-05,0,76.455495
"367",2010-02-06,0,82.118865
"368",2010-02-07,0,76.455495
"369",2010-02-08,0,79.28718
"370",2010-02-09,6,76.455495
"371",2010-02-10,0,76.455495
"372",2010-02-11,0,73.62381
"373",2010-02-12,0,76.455495
"374",2010-02-13,0,76.455495
"375",2010-02-14,1,82.118865
"376",2010-02-15,0,76.455495
"377",2010-02-16,0,76.455495
"378",2010-02-17,0,82.118865
"379",2010-02-18,0,76.455495
"380",2010-02-19,0,79.28718
"381",2010-02-20,0,79.28718
"382",2010-02-21,0,82.118865
"383",2010-02-22,0,79.28718
"384",2010-02-23,7,79.28718
"385",2010-02-24,0,79.28718
"386",2010-02-25,0,82.118865
"387",2010-02-26,5,79.28718
"388",2010-02-27,0,76.455495
"389",2010-02-28,0,79.28718
"390",2010-03-01,3,70.792125
"391",2010-03-02,0,73.62381
"392",2010-03-03,0,76.455495
"393",2010-03-04,0,79.28718
"394",2010-03-05,0,84.95055
"395",2010-03-06,0,84.95055
"396",2010-03-07,0,93.445605
"397",2010-03-08,0,90.61392
"398",2010-03-09,0,93.445605
"399",2010-03-10,2,87.782235
"400",2010-03-11,4,84.95055
"401",2010-03-12,0,84.95055
"402",2010-03-13,0,93.445605
"403",2010-03-14,0,84.95055
"404",2010-03-15,5,96.27729
"405",2010-03-16,0,93.445605
"406",2010-03-17,0,107.60403
"407",2010-03-18,0,116.099085
"408",2010-03-19,0,104.772345
"409",2010-03-20,14.5,84.95055
"410",2010-03-21,0,84.95055
"411",2010-03-22,0,84.95055
"412",2010-03-23,5,113.2674
"413",2010-03-24,15.5,113.2674
"414",2010-03-25,0,113.2674
"415",2010-03-26,0,113.2674
"416",2010-03-27,3,113.2674
"417",2010-03-28,0,113.2674
"418",2010-03-29,0,141.58425
"419",2010-03-30,0,158.57436
"420",2010-03-31,0,189.722895
"421",2010-04-01,0,169.9011
"422",2010-04-02,0,147.24762
"423",2010-04-03,0,152.91099
"424",2010-04-04,0,144.415935
"425",2010-04-05,0,161.406045
"426",2010-04-06,0,161.406045
"427",2010-04-07,4,155.742675
"428",2010-04-08,0,169.9011
"429",2010-04-09,0,186.89121
"430",2010-04-10,0,215.20806
"431",2010-04-11,0,249.18828
"432",2010-04-12,0,283.1685
"433",2010-04-13,0,311.48535
"434",2010-04-14,0,339.8022
"435",2010-04-15,0,453.0696
"436",2010-04-16,0,566.337
"437",2010-04-17,0,509.7033
"438",2010-04-18,0,538.02015
"439",2010-04-19,0,651.28755
"440",2010-04-20,0,821.18865
"441",2010-04-21,4,1019.4066
"442",2010-04-22,27,1387.52565
"443",2010-04-23,38,1104.35715
"444",2010-04-24,0,962.7729
"445",2010-04-25,4,849.5055
"446",2010-04-26,15,821.18865
"447",2010-04-27,0,792.8718
"448",2010-04-28,0,849.5055
"449",2010-04-29,7,906.1392
"450",2010-04-30,0,821.18865
"451",2010-05-01,0,764.55495
"452",2010-05-02,0,736.2381
"453",2010-05-03,0,679.6044
"454",2010-05-04,0,679.6044
"455",2010-05-05,0,764.55495
"456",2010-05-06,2,849.5055
"457",2010-05-07,4,849.5055
"458",2010-05-08,0,792.8718
"459",2010-05-09,0,821.18865
"460",2010-05-10,0,1047.72345
"461",2010-05-11,1,991.08975
"462",2010-05-12,12,991.08975
"463",2010-05-13,11,877.82235
"464",2010-05-14,0,934.45605
"465",2010-05-15,6,991.08975
"466",2010-05-16,0,1019.4066
"467",2010-05-17,0,1189.3077
"468",2010-05-18,4,1529.1099
"469",2010-05-19,3,1868.9121
"470",2010-05-20,0,2180.39745
"471",2010-05-21,0,2718.4176
"472",2010-05-22,0,3681.1905
"473",2010-05-23,0,4615.64655
"474",2010-05-24,0,4672.28025
"475",2010-05-25,0,3822.77475
"476",2010-05-26,1,4219.21065
"477",2010-05-27,0,5465.15205
"478",2010-05-28,0,7334.06415
"479",2010-05-29,3,8721.5898
"480",2010-05-30,2,8098.6191
"481",2010-05-31,0,8155.2528
"482",2010-06-01,0,8098.6191
"483",2010-06-02,0,7220.79675
"484",2010-06-03,0,6909.3114
"485",2010-06-04,0,9146.34255
"486",2010-06-05,0,13422.1869
"487",2010-06-06,0,14696.44515
"488",2010-06-07,0,15007.9305
"489",2010-06-08,1,14045.1576
"490",2010-06-09,0,12232.8792
"491",2010-06-10,0,11383.3737
"492",2010-06-11,7,9882.58065
"493",2010-06-12,41.5,12402.7803
"494",2010-06-13,3,9599.41215
"495",2010-06-14,3,7730.50005
"496",2010-06-15,0,6541.19235
"497",2010-06-16,0,6937.62825
"498",2010-06-17,0,7192.4799
"499",2010-06-18,0,7277.43045
"500",2010-06-19,0,7758.8169
"501",2010-06-20,0,7475.6484
"502",2010-06-21,0,6682.7766
"503",2010-06-22,0,6597.82605
"504",2010-06-23,0,6399.6081
"505",2010-06-24,0,6484.55865
"506",2010-06-25,0,6144.75645
"507",2010-06-26,8,6003.1722
"508",2010-06-27,0,5748.32055
"509",2010-06-28,0,5550.1026
"510",2010-06-29,0,5040.3993
"511",2010-06-30,0,4559.01285
"512",2010-07-01,0,4615.64655
"513",2010-07-02,5.5,5578.41945
"514",2010-07-03,1,5153.6667
"515",2010-07-04,0,4389.11175
"516",2010-07-05,16,3681.1905
"517",2010-07-06,0,3199.80405
"518",2010-07-07,7,3284.7546
"519",2010-07-08,3,3284.7546
"520",2010-07-09,0,2916.63555
"521",2010-07-10,0,2803.36815
"522",2010-07-11,0,2718.4176
"523",2010-07-12,0,2803.36815
"524",2010-07-13,0,2803.36815
"525",2010-07-14,0,2746.73445
"526",2010-07-15,0,2605.1502
"527",2010-07-16,0,2321.9817
"528",2010-07-17,0,2095.4469
"529",2010-07-18,0,2010.49635
"530",2010-07-19,1,2038.8132
"531",2010-07-20,0,1982.1795
"532",2010-07-21,0,1982.1795
"533",2010-07-22,0,1953.86265
"534",2010-07-23,0,1925.5458
"535",2010-07-24,0,1727.32785
"536",2010-07-25,0,1670.69415
"537",2010-07-26,0,1557.42675
"538",2010-07-27,0,1444.15935
"539",2010-07-28,0,1953.86265
"540",2010-07-29,4,2208.7143
"541",2010-07-30,0,2038.8132
"542",2010-07-31,0,1783.96155
"543",2010-08-01,2,1699.011
"544",2010-08-02,1,1897.22895
"545",2010-08-03,0,2378.6154
"546",2010-08-04,2,2265.348
"547",2010-08-05,0,2010.49635
"548",2010-08-06,5,1699.011
"549",2010-08-07,0,1500.79305
"550",2010-08-08,0.5,1415.8425
"551",2010-08-09,8,1472.4762
"552",2010-08-10,0,1302.5751
"553",2010-08-11,0,1160.99085
"554",2010-08-12,0,1160.99085
"555",2010-08-13,0,1019.4066
"556",2010-08-14,0,934.45605
"557",2010-08-15,0,906.1392
"558",2010-08-16,5,877.82235
"559",2010-08-17,0,821.18865
"560",2010-08-18,0,764.55495
"561",2010-08-19,0,764.55495
"562",2010-08-20,2,962.7729
"563",2010-08-21,0,792.8718
"564",2010-08-22,0,707.92125
"565",2010-08-23,0,679.6044
"566",2010-08-24,0,679.6044
"567",2010-08-25,0,651.28755
"568",2010-08-26,0,594.65385
"569",2010-08-27,0,566.337
"570",2010-08-28,0,566.337
"571",2010-08-29,0,566.337
"572",2010-08-30,0,509.7033
"573",2010-08-31,0,481.38645
"574",2010-09-01,0,453.0696
"575",2010-09-02,0,396.4359
"576",2010-09-03,0,368.11905
"577",2010-09-04,0,339.8022
"578",2010-09-05,0,339.8022
"579",2010-09-06,0,339.8022
"580",2010-09-07,0,311.48535
"581",2010-09-08,2,311.48535
"582",2010-09-09,0,424.75275
"583",2010-09-10,0,339.8022
"584",2010-09-11,0,311.48535
"585",2010-09-12,0,311.48535
"586",2010-09-13,0,274.673445
"587",2010-09-14,0,260.51502
"588",2010-09-15,0,266.17839
"589",2010-09-16,0,263.346705
"590",2010-09-17,0,263.346705
"591",2010-09-18,0,254.85165
"592",2010-09-19,0,249.18828
"593",2010-09-20,0,243.52491
"594",2010-09-21,0,243.52491
"595",2010-09-22,0,252.019965
"596",2010-09-23,0,311.48535
"597",2010-09-24,0,311.48535
"598",2010-09-25,0,260.51502
"599",2010-09-26,0,243.52491
"600",2010-09-27,0,237.86154
"601",2010-09-28,0,237.86154
"602",2010-09-29,0,232.19817
"603",2010-09-30,0,229.366485
"604",2010-10-01,0,198.21795
"605",2010-10-02,0,212.80112775
"606",2010-10-03,0,220.50331095
"607",2010-10-04,0,218.69103255
"608",2010-10-05,0,230.7256938
"609",2010-10-06,0,229.73460405
"610",2010-10-07,0,245.76194115
"611",2010-10-08,0,257.99482035
"612",2010-10-09,0,289.7380092
"613",2010-10-10,0,300.724947
"614",2010-10-11,0,328.9285296
"615",2010-10-12,17,440.1571164
"616",2010-10-13,0,402.7222407
"617",2010-10-14,0,432.3416658
"618",2010-10-15,0,808.98408765
"619",2010-10-16,0,785.7925875
"620",2010-10-17,0,768.8024775
"621",2010-10-18,0,750.93451683315
"622",2010-10-19,0,702.37117571685
"623",2010-10-20,0,609.69009735
"624",2010-10-21,0,541.41820031685
"625",2010-10-22,1,653.6661654
"626",2010-10-23,0,668.56085681685
"627",2010-10-24,0,650.26817171685
"628",2010-10-25,2,774.43755896685
