"","date","P","Q"
"1",1988-03-24,0,2.831685
"2",1988-03-25,0,3.964359
"3",1988-03-26,0,26.3346705
"4",1988-03-27,0,140.1684075
"5",1988-03-28,0,20.954469
"6",1988-03-29,54.0606294783126,9.3445605
"7",1988-03-30,0,7.6455495
"8",1988-03-31,0,8.7782235
"9",1988-04-01,0,8.2118865
"10",1988-04-02,0,7.0792125
"11",1988-04-03,0,5.9465385
"12",1988-04-04,0,5.097033
"13",1988-04-05,0,5.097033
"14",1988-04-06,0,6.229707
"15",1988-04-07,0,4.530696
"16",1988-04-08,0,3.964359
"17",1988-04-09,0,3.1148535
"18",1988-04-10,0,2.831685
"19",1988-04-11,0,2.5485165
"20",1988-04-12,11.5873299525739,2.265348
"21",1988-04-13,0,1.9821795
"22",1988-04-14,0,1.699011
"23",1988-04-15,0,1.699011
"24",1988-04-16,0,1.699011
"25",1988-04-17,0,2.265348
"26",1988-04-18,0,3.964359
"27",1988-04-19,22.2776206892061,6.5128755
"28",1988-04-20,0,4.530696
"29",1988-04-21,0,3.1148535
"30",1988-04-22,0,2.5485165
"31",1988-04-23,0,2.265348
"32",1988-04-24,0,2.5485165
"33",1988-04-25,0,4.530696
"34",1988-04-26,26.6029607840584,7.6455495
"35",1988-04-27,0,6.229707
"36",1988-04-28,0,3.964359
"37",1988-04-29,0,11.32674
"38",1988-04-30,0,8.7782235
"39",1988-05-01,0,6.796044
"40",1988-05-02,0,5.9465385
"41",1988-05-03,30.2493198102955,4.530696
"42",1988-05-04,0,3.6811905
"43",1988-05-05,0,2.831685
"44",1988-05-06,0,2.5485165
"45",1988-05-07,0,2.265348
"46",1988-05-08,0,1.9821795
"47",1988-05-09,0,1.699011
"48",1988-05-10,0,1.699011
"49",1988-05-11,0,1.9821795
"50",1988-05-12,0,3.398022
"51",1988-05-13,0,2.265348
"52",1988-05-14,0,1.9821795
"53",1988-05-15,0,1.699011
"54",1988-05-16,0,1.4158425
"55",1988-05-17,21.6029607840584,2.265348
"56",1988-05-18,0,2.265348
"57",1988-05-19,0,1.9821795
"58",1988-05-20,0,1.699011
"59",1988-05-21,0,1.9821795
"60",1988-05-22,0,1.699011
"61",1988-05-23,0,1.699011
"62",1988-05-24,1.76927180524742,1.4158425
"63",1988-05-25,0,6.229707
"64",1988-05-26,0,11.0435715
"65",1988-05-27,0,5.097033
"66",1988-05-28,0,3.1148535
"67",1988-05-29,0,2.265348
"68",1988-05-30,0,1.699011
"69",1988-05-31,38.648786342079,1.699011
"70",1988-06-01,0,1.4158425
"71",1988-06-02,0,1.132674
"72",1988-06-03,0,0.8495055
"73",1988-06-04,0,0.566337
"74",1988-06-05,0,0.566337
"75",1988-06-06,0,0.566337
"76",1988-06-07,3.41024273158419,0.566337
"77",1988-06-08,0,0.2831685
"78",1988-06-09,0,0.2831685
"79",1988-06-10,0,0.2831685
"80",1988-06-11,0,0.2831685
"81",1988-06-12,0,0.2831685
"82",1988-06-13,0,0.2831685
"83",1988-06-14,6.02830087891065,0
"84",1988-06-15,0,0
"85",1988-06-16,0,0
"86",1988-06-17,0,0
"87",1988-06-18,0,0
"88",1988-06-19,0,0
"89",1988-06-20,0,0
"90",1988-06-21,11.4283008789106,0
"91",1988-06-22,0,0
"92",1988-06-23,0,0
"93",1988-06-24,0,0
"94",1988-06-25,0,0
"95",1988-06-26,0,0
"96",1988-06-27,0,0
"97",1988-06-28,12.4746599051477,0
"98",1988-06-29,0,0
"99",1988-06-30,0,0
"100",1988-07-01,0,0.2831685
"101",1988-07-02,0,0
"102",1988-07-03,0,0
"103",1988-07-04,0,0
"104",1988-07-05,31.5668444894055,0
"105",1988-07-06,0,0
"106",1988-07-07,0,0
"107",1988-07-08,0,0
"108",1988-07-09,0,0
"109",1988-07-10,0,0
"110",1988-07-11,0,0
"111",1988-07-12,7.18732995257387,0
"112",1988-07-13,0,0
"113",1988-07-14,0,0
"114",1988-07-15,0,0
"115",1988-07-16,0,0
"116",1988-07-17,0,0
"117",1988-07-18,0,0
"118",1988-07-19,17.3180581473265,0
"119",1988-07-20,0,0
"120",1988-07-21,0,0
"121",1988-07-22,0,0.2831685
"122",1988-07-23,0,0
"123",1988-07-24,0,0.2831685
"124",1988-07-25,0,0.2831685
"125",1988-07-26,47.2180581473265,0
"126",1988-07-27,0,0
"127",1988-07-28,0,0
"128",1988-07-29,0,0
"129",1988-07-30,0,0
"130",1988-07-31,0,0
"131",1988-08-01,0,0
"132",1988-08-02,10.3078154157423,0
"133",1988-08-03,0,0
"134",1988-08-04,0,0
"135",1988-08-05,0,0
"136",1988-08-06,0,0
