"","date","P","Q"
"1",1952-10-01,0,1.274265
"2",1952-10-02,0,1.274265
"3",1952-10-03,0,1.274265
"4",1952-10-04,0,1.274265
"5",1952-10-05,0,1.274265
"6",1952-10-06,0,1.274265
"7",1952-10-07,0,1.274265
"8",1952-10-08,0,1.274265
"9",1952-10-09,0,1.274265
"10",1952-10-10,0,1.274265
"11",1952-10-11,0,1.160997
"12",1952-10-12,0,1.047729
"13",1952-10-13,0,1.047729
"14",1952-10-14,0,1.047729
"15",1952-10-15,0,1.047729
"16",1952-10-16,0,1.047729
"17",1952-10-17,0,1.047729
"18",1952-10-18,0,1.047729
"19",1952-10-19,0,1.047729
"20",1952-10-20,0,1.047729
"21",1952-10-21,0,0.962778
"22",1952-10-22,0,0.906144
"23",1952-10-23,2.5,0.906144
"24",1952-10-24,0,0.906144
"25",1952-10-25,0,0.906144
"26",1952-10-26,0,0.906144
"27",1952-10-27,0,0.906144
"28",1952-10-28,0,0.906144
"29",1952-10-29,2.5,0.906144
"30",1952-10-30,1.5,0.906144
"31",1952-10-31,1,0.906144
"32",1952-11-01,0,0.906144
"33",1952-11-02,0,0.906144
"34",1952-11-03,0,0.906144
"35",1952-11-04,0,0.906144
"36",1952-11-05,0,0.906144
"37",1952-11-06,0,0.906144
"38",1952-11-07,0,0.906144
"39",1952-11-08,0,0.906144
"40",1952-11-09,0,0.906144
"41",1952-11-10,3.6,0.906144
"42",1952-11-11,13.7,1.868922
"43",1952-11-12,17.3,3.199821
"44",1952-11-13,16.3,4.927158
"45",1952-11-14,10.7,3.766161
"46",1952-11-15,0,1.755654
"47",1952-11-16,0,1.047729
"48",1952-11-17,0,0.962778
"49",1952-11-18,0,0.792876
"50",1952-11-19,0,0.764559
"51",1952-11-20,0,0.764559
"52",1952-11-21,0,0.764559
"53",1952-11-22,0,0.679608
"54",1952-11-23,0,0.679608
"55",1952-11-24,0,0.622974
"56",1952-11-25,0,0.622974
"57",1952-11-26,0,0.622974
"58",1952-11-27,0,0.622974
"59",1952-11-28,0,0.622974
"60",1952-11-29,0,0.622974
"61",1952-11-30,7.1,0.821193
"62",1952-12-01,25.9,4.757256
"63",1952-12-02,34.5,8.070345
"64",1952-12-03,6.6,5.465181
"65",1952-12-04,17.8,13.563843
"66",1952-12-05,15.2,9.429561
"67",1952-12-06,41.7,12.317895
"68",1952-12-07,45.7,36.52893
"69",1952-12-08,20.8,14.130183
"70",1952-12-09,16.8,14.413353
"71",1952-12-10,27.9,55.189833
"72",1952-12-11,29.5,67.196241
"73",1952-12-12,5.1,70.990719
"74",1952-12-13,0,47.317707
"75",1952-12-14,0,32.706135
"76",1952-12-15,2,23.78628
"77",1952-12-16,0,17.499906
"78",1952-12-17,0,14.469987
"79",1952-12-18,7.1,11.89314
"80",1952-12-19,1.5,11.04363
"81",1952-12-20,7.1,10.845411
"82",1952-12-21,24.4,13.224039
"83",1952-12-22,10.7,23.276574
"84",1952-12-23,0,17.499906
"85",1952-12-24,0,12.884235
"86",1952-12-25,3,9.656097
"87",1952-12-26,2.5,8.381832
"88",1952-12-27,0.5,7.702224
"89",1952-12-28,17.8,10.024218
"90",1952-12-29,14.2,25.4853
"91",1952-12-30,10.2,33.838815
"92",1952-12-31,13.7,26.646297
"93",1953-01-01,19.3,42.19233
"94",1953-01-02,0,90.416181
"95",1953-01-03,0,58.021533
"96",1953-01-04,0,44.401056
