"","date","P","Q"
"1",1975-01-01,21.6,NA
"2",1975-01-02,19.4,NA
"3",1975-01-03,3.2,NA
"4",1975-01-04,16,NA
"5",1975-01-05,0.2,NA
"6",1975-01-06,6.5,NA
"7",1975-01-07,7.4,NA
"8",1975-01-08,7.5,NA
"9",1975-01-09,0.6,NA
"10",1975-01-10,6.1,NA
"11",1975-01-11,0,NA
"12",1975-01-12,4.5,NA
"13",1975-01-13,0.5,NA
"14",1975-01-14,1.7,NA
"15",1975-01-15,0,NA
"16",1975-01-16,0.4,NA
"17",1975-01-17,0.5,NA
"18",1975-01-18,4.3,NA
"19",1975-01-19,2.8,NA
"20",1975-01-20,8.9,NA
"21",1975-01-21,15.4,NA
"22",1975-01-22,11.1,NA
"23",1975-01-23,0.9,NA
"24",1975-01-24,9.6,NA
"25",1975-01-25,33.3,NA
"26",1975-01-26,40.7,NA
"27",1975-01-27,38.3,NA
"28",1975-01-28,21.9,NA
"29",1975-01-29,6.2,NA
"30",1975-01-30,11.1,NA
"31",1975-01-31,1,NA
"32",1975-02-01,4.4,NA
"33",1975-02-02,0,NA
"34",1975-02-03,0.2,NA
"35",1975-02-04,0,NA
"36",1975-02-05,1.5,NA
"37",1975-02-06,0,NA
"38",1975-02-07,0,NA
"39",1975-02-08,2.1,NA
"40",1975-02-09,2.1,NA
"41",1975-02-10,2.1,NA
"42",1975-02-11,8,NA
"43",1975-02-12,5.1,NA
"44",1975-02-13,1.9,NA
"45",1975-02-14,1.1,NA
"46",1975-02-15,0,NA
"47",1975-02-16,0,NA
"48",1975-02-17,5.2,NA
"49",1975-02-18,4.9,NA
"50",1975-02-19,3,NA
"51",1975-02-20,1.4,NA
"52",1975-02-21,5.9,NA
"53",1975-02-22,6.9,NA
"54",1975-02-23,4.1,NA
"55",1975-02-24,2.9,NA
"56",1975-02-25,0,NA
"57",1975-02-26,1,NA
"58",1975-02-27,4.6,NA
"59",1975-02-28,7.7,NA
"60",1975-03-01,2.3,NA
"61",1975-03-02,2.3,NA
"62",1975-03-03,2.3,NA
"63",1975-03-04,0,NA
"64",1975-03-05,0.9,NA
"65",1975-03-06,0,NA
"66",1975-03-07,1,NA
"67",1975-03-08,0,NA
"68",1975-03-09,0,NA
"69",1975-03-10,0,NA
"70",1975-03-11,1.2,NA
"71",1975-03-12,1.4,NA
"72",1975-03-13,1.4,NA
"73",1975-03-14,6.7,NA
"74",1975-03-15,3.3,NA
"75",1975-03-16,4.8,NA
"76",1975-03-17,1.2,NA
"77",1975-03-18,4.2,NA
"78",1975-03-19,0.9,NA
"79",1975-03-20,0,NA
"80",1975-03-21,0,NA
"81",1975-03-22,0,NA
"82",1975-03-23,0,NA
"83",1975-03-24,0,NA
"84",1975-03-25,0.9,NA
"85",1975-03-26,1.3,NA
"86",1975-03-27,1,NA
"87",1975-03-28,7.3,NA
"88",1975-03-29,11.1,NA
"89",1975-03-30,6.4,NA
"90",1975-03-31,1.9,NA
"91",1975-04-01,1.2,NA
"92",1975-04-02,0,NA
"93",1975-04-03,0.3,NA
"94",1975-04-04,0,NA
"95",1975-04-05,0,NA
"96",1975-04-06,0,NA
"97",1975-04-07,2.7,NA
"98",1975-04-08,1.5,NA
"99",1975-04-09,0.6,NA
"100",1975-04-10,30.9,NA
"101",1975-04-11,8,NA
"102",1975-04-12,5.1,NA
"103",1975-04-13,0,NA
"104",1975-04-14,2.2,NA
"105",1975-04-15,1.7,NA
"106",1975-04-16,0,NA
"107",1975-04-17,0,NA
"108",1975-04-18,0.3,NA
"109",1975-04-19,2.8,NA
"110",1975-04-20,4.2,NA
"111",1975-04-21,20.4,NA
"112",1975-04-22,2.5,NA
"113",1975-04-23,6.5,NA
"114",1975-04-24,9.3,NA
"115",1975-04-25,0,NA
"116",1975-04-26,20.7,NA
"117",1975-04-27,0,NA
"118",1975-04-28,0,NA
"119",1975-04-29,24.1,NA
"120",1975-04-30,44.4,NA
"121",1975-05-01,0,NA
"122",1975-05-02,0,NA
"123",1975-05-03,0,NA
"124",1975-05-04,0,NA
"125",1975-05-05,0,NA
"126",1975-05-06,0,NA
"127",1975-05-07,0,NA
"128",1975-05-08,9.3,NA
"129",1975-05-09,0.5,NA
"130",1975-05-10,1,NA
"131",1975-05-11,0.3,NA
"132",1975-05-12,7.1,NA
"133",1975-05-13,4.5,NA
"134",1975-05-14,2.3,NA
"135",1975-05-15,0.9,NA
"136",1975-05-16,11.1,NA
"137",1975-05-17,13.3,NA
"138",1975-05-18,7.4,NA
"139",1975-05-19,49.4,NA
"140",1975-05-20,61.7,NA
"141",1975-05-21,6.5,NA
"142",1975-05-22,1.2,NA
"143",1975-05-23,3.1,NA
"144",1975-05-24,0,NA
"145",1975-05-25,0,NA
"146",1975-05-26,1.2,NA
"147",1975-05-27,1.1,NA
"148",1975-05-28,0,NA
"149",1975-05-29,0,NA
"150",1975-05-30,3.1,NA
"151",1975-05-31,3.9,NA
"152",1975-06-01,3.9,NA
"153",1975-06-02,0,NA
"154",1975-06-03,9.3,NA
"155",1975-06-04,0,NA
"156",1975-06-05,1.2,NA
"157",1975-06-06,0,NA
"158",1975-06-07,0,NA
"159",1975-06-08,0,NA
"160",1975-06-09,0,NA
"161",1975-06-10,0,NA
"162",1975-06-11,0.5,NA
"163",1975-06-12,0,NA
"164",1975-06-13,0,NA
"165",1975-06-14,2.2,NA
"166",1975-06-15,9.9,NA
"167",1975-06-16,13,NA
"168",1975-06-17,3.9,NA
"169",1975-06-18,0.9,NA
"170",1975-06-19,6.5,NA
"171",1975-06-20,11.1,NA
"172",1975-06-21,3.3,NA
"173",1975-06-22,0,NA
"174",1975-06-23,0,NA
"175",1975-06-24,2.9,NA
"176",1975-06-25,6.8,NA
"177",1975-06-26,0,NA
"178",1975-06-27,0,NA
"179",1975-06-28,0,NA
"180",1975-06-29,0,NA
"181",1975-06-30,0,NA
"182",1975-07-01,10.8,NA
"183",1975-07-02,0,NA
"184",1975-07-03,0,NA
"185",1975-07-04,2.1,NA
"186",1975-07-05,0,NA
"187",1975-07-06,6.8,NA
"188",1975-07-07,3.4,NA
"189",1975-07-08,3.4,NA
"190",1975-07-09,20.4,NA
"191",1975-07-10,0,NA
"192",1975-07-11,0,NA
"193",1975-07-12,0,NA
"194",1975-07-13,2.1,NA
"195",1975-07-14,2.1,NA
"196",1975-07-15,29,NA
"197",1975-07-16,0.9,NA
"198",1975-07-17,1.6,NA
