"","date","P","Q"
"1",1991-09-30,0,19.255458
"2",1991-10-01,3.56,18.9722895
"3",1991-10-02,0,18.4059525
"4",1991-10-03,0,18.122784
"5",1991-10-04,0,17.8396155
"6",1991-10-05,0,17.2732785
"7",1991-10-06,0,16.99011
"8",1991-10-07,0,16.7069415
"9",1991-10-08,0,16.423773
"10",1991-10-09,0,16.1406045
"11",1991-10-10,0,15.5742675
"12",1991-10-11,0,15.291099
"13",1991-10-12,0,15.0079305
"14",1991-10-13,0,14.724762
"15",1991-10-14,0,14.4415935
"16",1991-10-15,0,14.158425
"17",1991-10-16,0,13.8752565
"18",1991-10-17,0,13.592088
"19",1991-10-18,0,13.3089195
"20",1991-10-19,0,13.025751
"21",1991-10-20,0,12.7425825
"22",1991-10-21,0,12.459414
"23",1991-10-22,0,12.1762455
"24",1991-10-23,0,11.893077
"25",1991-10-24,0,11.893077
"26",1991-10-25,0,11.6099085
"27",1991-10-26,0,11.32674
"28",1991-10-27,0,11.0435715
"29",1991-10-28,0,10.760403
"30",1991-10-29,33.78,10.4772345
"31",1991-10-30,0,10.4772345
"32",1991-10-31,0,10.194066
"33",1991-11-01,0,9.9108975
"34",1991-11-02,0,9.9108975
"35",1991-11-03,0,9.627729
"36",1991-11-04,0,9.3445605
"37",1991-11-05,23.88,9.061392
"38",1991-11-06,0,9.061392
"39",1991-11-07,0,8.7782235
"40",1991-11-08,0,8.495055
"41",1991-11-09,0,8.495055
"42",1991-11-10,0,8.2118865
"43",1991-11-11,0,8.2118865
"44",1991-11-12,39.88,7.928718
"45",1991-11-13,0,7.928718
"46",1991-11-14,0,7.6455495
"47",1991-11-15,0,7.362381
"48",1991-11-16,0,7.362381
"49",1991-11-17,0,7.0792125
"50",1991-11-18,0,7.0792125
"51",1991-11-19,38.86,6.796044
"52",1991-11-20,0,6.796044
"53",1991-11-21,0,6.5128755
"54",1991-11-22,0,6.5128755
"55",1991-11-23,0,6.229707
"56",1991-11-24,0,6.229707
"57",1991-11-25,0,5.9465385
"58",1991-11-26,42.67,5.9465385
"59",1991-11-27,0,5.9465385
"60",1991-11-28,0,5.66337
"61",1991-11-29,0,5.66337
"62",1991-11-30,0,5.3802015
"63",1991-12-01,0,5.3802015
"64",1991-12-02,0,5.3802015
"65",1991-12-03,19.3,5.097033
"66",1991-12-04,0,5.097033
"67",1991-12-05,0,4.8138645
