"","date","P","Q"
"1",1969-01-01,NA,2.9
"2",1969-01-02,0,2.6
"3",1969-01-03,2.3,2.5
"4",1969-01-04,0,2.3
"5",1969-01-05,0.3,2
"6",1969-01-06,1.5,2
"7",1969-01-07,0.3,2
"8",1969-01-08,0,2
"9",1969-01-09,2.1,2
"10",1969-01-10,0,1.9
"11",1969-01-11,0,1.7
"12",1969-01-12,0,1.6
"13",1969-01-13,0,1.5
"14",1969-01-14,0,1.4
"15",1969-01-15,0,1.4
"16",1969-01-16,0,1.4
"17",1969-01-17,0.5,1.4
"18",1969-01-18,9,1.4
"19",1969-01-19,37.1,7.7
"20",1969-01-20,18.9,49.6
"21",1969-01-21,0,25.5
"22",1969-01-22,0,16.7
"23",1969-01-23,4.6,12.7
"24",1969-01-24,0.6,9.8
"25",1969-01-25,0,6.5
"26",1969-01-26,0,5.3
"27",1969-01-27,0.8,4.7
"28",1969-01-28,5,4
"29",1969-01-29,7.5,4.1
"30",1969-01-30,5.1,6.6
"31",1969-01-31,6.8,10.6
"32",1969-02-01,38.5,60.1
"33",1969-02-02,27.8,164.4
"34",1969-02-03,0,54.4
"35",1969-02-04,0,30.4
"36",1969-02-05,0,21.5
"37",1969-02-06,18.3,18.6
"38",1969-02-07,0,21.8
"39",1969-02-08,11.9,25.3
"40",1969-02-09,0.5,31.6
"41",1969-02-10,0,25.2
"42",1969-02-11,0,20.6
"43",1969-02-12,0,16.5
"44",1969-02-13,0,13.1
"45",1969-02-14,0,9.6
"46",1969-02-15,2.1,7.1
"47",1969-02-16,19.2,7
"48",1969-02-17,0.3,6.7
"49",1969-02-18,0,6.2
"50",1969-02-19,0,7.8
"51",1969-02-20,0,11
"52",1969-02-21,0,14.2
"53",1969-02-22,10.9,15
"54",1969-02-23,6.9,21.3
"55",1969-02-24,0,26.8
"56",1969-02-25,0,22.2
"57",1969-02-26,0,18.3
"58",1969-02-27,0,15.2
"59",1969-02-28,0,13.2
"60",1969-03-01,0,11.2
"61",1969-03-02,0,8.6
"62",1969-03-03,0,6.4
"63",1969-03-04,0,6.1
"64",1969-03-05,0,5.9
"65",1969-03-06,5.2,5.9
"66",1969-03-07,5.1,6.5
"67",1969-03-08,3.1,6.6
"68",1969-03-09,4.6,7.7
"69",1969-03-10,0,8.9
"70",1969-03-11,0,10.3
"71",1969-03-12,0,11.1
"72",1969-03-13,0,10.9
"73",1969-03-14,0,9.6
"74",1969-03-15,0,7.3
"75",1969-03-16,0,6.5
"76",1969-03-17,0,6.2
"77",1969-03-18,7.8,6
"78",1969-03-19,5.2,6.2
"79",1969-03-20,0,6.3
"80",1969-03-21,0,6.6
"81",1969-03-22,0,6.6
"82",1969-03-23,4.6,6.6
"83",1969-03-24,10.8,8
"84",1969-03-25,1.6,9.3
"85",1969-03-26,0,8.5
"86",1969-03-27,0,7.6
"87",1969-03-28,0,6.8
"88",1969-03-29,8.4,6.6
"89",1969-03-30,1,6.6
"90",1969-03-31,0,6.6
"91",1969-04-01,0,6.7
"92",1969-04-02,0,6.9
"93",1969-04-03,0,6.9
"94",1969-04-04,10.1,6.7
"95",1969-04-05,2.5,7
"96",1969-04-06,5.1,8.3
"97",1969-04-07,0,8.9
"98",1969-04-08,0,9.4
"99",1969-04-09,2.5,9.4
"100",1969-04-10,7.5,8.2
"101",1969-04-11,0,7.9
"102",1969-04-12,0,7.2
"103",1969-04-13,0,6.9
"104",1969-04-14,2.5,6.9
"105",1969-04-15,7.6,6.9
"106",1969-04-16,0,6.6
"107",1969-04-17,5.1,6.5
"108",1969-04-18,22.9,11.3
"109",1969-04-19,2.5,34.3
"110",1969-04-20,0,22.9
"111",1969-04-21,0,17.3
"112",1969-04-22,2.5,14.3
"113",1969-04-23,0,12.2
"114",1969-04-24,0,9.9
