"","date","P","Q"
"1",1985-10-01,NA,2.94637934722222
"2",1985-10-02,10.16,2.98170468373843
"3",1985-10-03,0.508,1.69693675954861
"4",1985-10-04,0,1.59038836631944
"5",1985-10-05,0,1.47040390625
"6",1985-10-06,0,1.43650990509259
"7",1985-10-07,0,1.40151021238426
"8",1985-10-08,0,1.42463395109954
"9",1985-10-09,0,1.313260671875
"10",1985-10-10,0,1.29236279369213
"11",1985-10-11,0,1.25728848090278
"12",1985-10-12,0,1.26679539872685
"13",1985-10-13,0,1.28706343171296
"14",1985-10-14,0,1.27558886053241
"15",1985-10-15,0,1.28718942997685
"16",1985-10-16,1.27,1.30192894907407
"17",1985-10-17,0.254,1.29241214988426
"18",1985-10-18,0,1.29419489496528
"19",1985-10-19,0,1.27195789670139
"20",1985-10-20,0,1.26353921180556
"21",1985-10-21,0.254,1.25075301041667
"22",1985-10-22,1.016,1.26927665798611
"23",1985-10-23,0,1.28131973148148
"24",1985-10-24,0,1.32608532233796
"25",1985-10-25,0,1.2790936400463
"26",1985-10-26,0,1.27165257928241
"27",1985-10-27,14.986,1.64015199074074
"28",1985-10-28,8.89,2.27923269762731
"29",1985-10-29,0,1.43008686747685
"30",1985-10-30,0,1.36743532407407
"31",1985-10-31,6.858,1.65052576041667
"32",1985-11-01,6.858,1.99224898668981
"33",1985-11-02,0,1.55878923061343
"34",1985-11-03,6.604,1.81224856944444
"35",1985-11-04,0.254,1.56380536429398
"36",1985-11-05,0,1.44062505960648
"37",1985-11-06,0,1.41278385416667
"38",1985-11-07,0,1.3936984375
"39",1985-11-08,0,1.37999737615741
"40",1985-11-09,0,1.376
"41",1985-11-10,0,1.376
"42",1985-11-11,0,1.37631302719907
"43",1985-11-12,0,1.40846927719907
"44",1985-11-13,0,1.42730818634259
"45",1985-11-14,0,1.4029011640625
"46",1985-11-15,0,1.41196570457176
"47",1985-11-16,0,1.39260415104167
"48",1985-11-17,0,1.374882921875
"49",1985-11-18,0,1.43805396672454
"50",1985-11-19,0,1.54635835416667
"51",1985-11-20,0,1.39644224913194
"52",1985-11-21,3.048,1.47208962528935
"53",1985-11-22,15.748,2.64500409837963
"54",1985-11-23,0,1.64560800925926
"55",1985-11-24,0,1.57957468576389
"56",1985-11-25,0,1.56769418344907
"57",1985-11-26,0,1.5565739375
"58",1985-11-27,0,1.50944484375
"59",1985-11-28,4.826,1.55958777604167
"60",1985-11-29,21.844,3.25648603703704
"61",1985-11-30,53.34,33.0391899071181
"62",1985-12-01,6.096,6.25933736950231
"63",1985-12-02,0,4.37656097395833
"64",1985-12-03,0,2.85804697627315
"65",1985-12-04,0,2.56541251678241
"66",1985-12-05,0,2.38014515277778
"67",1985-12-06,0,2.21753106770833
"68",1985-12-07,0,2.1151159212963
"69",1985-12-08,0,2.07414549710648
"70",1985-12-09,0,2.02033110069444
"71",1985-12-10,0,1.97152675173611
"72",1985-12-11,0,1.97392855150463
"73",1985-12-12,17.018,2.72812033738426
"74",1985-12-13,9.144,7.1389154681713
"75",1985-12-14,0,3.00595471961806
"76",1985-12-15,0,2.52803109288194
"77",1985-12-16,0,2.35942623177083
"78",1985-12-17,0,2.25903265538194
"79",1985-12-18,0,2.16841480121528
"80",1985-12-19,0,2.12099388541667
"81",1985-12-20,0,2.09997158391204
"82",1985-12-21,0,2.15579537673611
"83",1985-12-22,0,2.17477019965278
"84",1985-12-23,0,2.17452247019676
"85",1985-12-24,0,2.02931131857639
"86",1985-12-25,0,1.92496357118056
"87",1985-12-26,0,1.87920825231481
"88",1985-12-27,0,1.94466503125
"89",1985-12-28,1.016,2.00460259259259
"90",1985-12-29,0,1.92929993287037
"91",1985-12-30,0,1.89440612962963
"92",1985-12-31,11.684,2.42504019039352
"93",1986-01-01,0.762,2.63264670138889
"94",1986-01-02,0,2.13960455729167
"95",1986-01-03,0,2.08506827256944
"96",1986-01-04,0,2.03113389756944
"97",1986-01-05,0,1.98274861111111
"98",1986-01-06,0,1.97384392361111
"99",1986-01-07,0,1.97398975694444
"100",1986-01-08,0,1.93565026041667
"101",1986-01-09,0,1.95296614583333
"102",1986-01-10,0.254,1.97551571180556
"103",1986-01-11,0,1.93826388888889
"104",1986-01-12,0,1.91843463541667
"105",1986-01-13,0,1.95371291579861
"106",1986-01-14,0,1.92043738773148
"107",1986-01-15,0,1.91569556336806
"108",1986-01-16,0,1.90931023611111
"109",1986-01-17,0,1.91808183391204
"110",1986-01-18,2.032,2.00745048813657
"111",1986-01-19,3.302,2.14942396672454
"112",1986-01-20,0,1.96777174074074
"113",1986-01-21,0,1.92422437962963
"114",1986-01-22,0,1.92577033796296
"115",1986-01-23,0,1.89355086805556
"116",1986-01-24,0,1.85034939236111
"117",1986-01-25,0.508,1.83946573090278
"118",1986-01-26,10.414,2.72114513657407
"119",1986-01-27,0,2.08342312037037
"120",1986-01-28,0,1.85898537268519
"121",1986-01-29,0,1.94302473958333
"122",1986-01-30,0,1.92995590277778
"123",1986-01-31,0,1.86263263888889
"124",1986-02-01,0,1.86571666666667
"125",1986-02-02,0,1.85204409722222
"126",1986-02-03,0,1.87797994791667
"127",1986-02-04,0,1.86067395833333
"128",1986-02-05,8.128,2.31249208333333
"129",1986-02-06,9.398,2.83329548611111
"130",1986-02-07,0,2.34136588541667
"131",1986-02-08,0,2.09496909722222
"132",1986-02-09,0,1.99893333333333
"133",1986-02-10,19.05,3.15249991319444
"134",1986-02-11,3.302,5.51750038194444
"135",1986-02-12,0,3.16897760416667
"136",1986-02-13,0,2.80022725694444
"137",1986-02-14,6.858,2.79931085069444
"138",1986-02-15,6.35,5.53967395833333
"139",1986-02-16,0,3.18747604166667
"140",1986-02-17,0.762,2.9081375
"141",1986-02-18,6.604,3.45815529513889
"142",1986-02-19,0,3.018921875
"143",1986-02-20,0,2.75927534722222
"144",1986-02-21,0,2.60710729166667
"145",1986-02-22,0,2.54469496527778
"146",1986-02-23,0,2.45211875
"147",1986-02-24,0.254,2.38111744791667
"148",1986-02-25,0,2.33917161458333
"149",1986-02-26,0,2.30319010416667
"150",1986-02-27,0.508,2.26546197916667
"151",1986-02-28,0,2.23088107638889
"152",1986-03-01,0,2.19854652777778
"153",1986-03-02,0,2.171825
"154",1986-03-03,0,2.16085
"155",1986-03-04,0,2.15013125
"156",1986-03-05,0,2.13882300347222
"157",1986-03-06,0,2.12681085069444
"158",1986-03-07,0,2.11480416666667
"159",1986-03-08,0,2.10280416666667
"160",1986-03-09,0,2.09082248263889
"161",1986-03-10,0,2.07891579861111
"162",1986-03-11,0,2.06703411458333
"163",1986-03-12,0,2.05299427083333
"164",1986-03-13,38.354,9.15332789930556
"165",1986-03-14,3.048,6.91885588541667
"166",1986-03-15,0,3.93027890625
"167",1986-03-16,0.254,3.2791828125
"168",1986-03-17,0,2.90651918402778
"169",1986-03-18,0,2.71998125
"170",1986-03-19,31.496,10.0127528125
"171",1986-03-20,13.462,19.9888547395833
"172",1986-03-21,0,8.95681848958333
"173",1986-03-22,0,5.84345251736111
"174",1986-03-23,0,4.70452604166667
"175",1986-03-24,0,4.04118064236111
"176",1986-03-25,0,3.57095164930556
"177",1986-03-26,0,3.30621475694444
"178",1986-03-27,0,3.10057951388889
"179",1986-03-28,0,2.93268506944444
"180",1986-03-29,0,2.80193055555556
"181",1986-03-30,0,2.76133125
"182",1986-03-31,0,2.72073194444444
"183",1986-04-01,0,2.68013263888889
"184",1986-04-02,0,2.63953333333333
"185",1986-04-03,0,2.61647847222222
"186",1986-04-04,0,2.59371189236111
"187",1986-04-05,0,2.57235520833333
"188",1986-04-06,0,2.54601310763889
"189",1986-04-07,0,2.48701510416667
"190",1986-04-08,8.636,2.73349503472222
"191",1986-04-09,0.508,2.83220920138889
"192",1986-04-10,0,2.43363402777778
"193",1986-04-11,0,2.37502413194444
"194",1986-04-12,0,2.35029574652778
"195",1986-04-13,0,2.32940017361111
"196",1986-04-14,0,2.28735989583333
"197",1986-04-15,0,2.24040277777778
"198",1986-04-16,0,2.20736180555556
"199",1986-04-17,0,2.16509453125
"200",1986-04-18,0,2.17314192708333
"201",1986-04-19,0,2.15954184027778
"202",1986-04-20,0.762,2.23568697916667
"203",1986-04-21,26.162,4.05727663194444
"204",1986-04-22,0,2.53433524305556
"205",1986-04-23,0,2.31318220486111
"206",1986-04-24,0,2.18275989583333
"207",1986-04-25,0,2.14086805555556
"208",1986-04-26,0,2.04247890625
"209",1986-04-27,0,1.96005043402778
"210",1986-04-28,0,1.93724314236111
"211",1986-04-29,0,1.8968296875
"212",1986-04-30,0,1.843675
"213",1986-05-01,0,1.843675
"214",1986-05-02,0,1.843675
"215",1986-05-03,0,1.843675
"216",1986-05-04,0,1.843675
"217",1986-05-05,0,1.843675
"218",1986-05-06,0,1.843675
"219",1986-05-07,3.048,1.88876336805556
"220",1986-05-08,0.508,1.88654444444444
"221",1986-05-09,0,1.81610902777778
"222",1986-05-10,0,2.30726302083333
"223",1986-05-11,0,2.02196024305556
"224",1986-05-12,17.018,2.40110513888889
"225",1986-05-13,0.254,2.02828854166667
"226",1986-05-14,1.778,1.63996796875
"227",1986-05-15,0,1.49776918402778
"228",1986-05-16,0.762,1.47105807291667
"229",1986-05-17,0,1.45117248263889
