Site_ID,Site_Name,filename,time_name,source_name,sink_name,filter,site_NO,source_anomaly,sink_anomaly,source_varname,sink_varname
Angelo_DRY_ta_ts,Angelo DRY,Angelo_Laurel/CompiledAngeloSamplerPlatter_Hourly.csv,DateTime,DRY_air_temp,DRY_temp_C,,,1,1,Tair anomaly,Ts anomaly
Angelo_DRY_Q_ts,Angelo DRY,Angelo_Laurel/CompiledAngeloSamplerPlatter_Hourly.csv,DateTime,DRY_discharge_cms,DRY_temp_C,,,,1,Q,Ts anomaly
Angelo_ELDER_ta_ts,Angelo ELDER,Angelo_Laurel/Elder_subdaily.csv,datetime,AirT_C,WaterT_C,,,1,1,Tair anomaly,Ts anomaly
Angelo_ELDER_Q_ts,Angelo ELDER,Angelo_Laurel/Elder_subdaily.csv,datetime,Q_cfs,WaterT_C,,,,1,Q,Ts anomaly
Angelo_ELDER_P_Q,Angelo ELDER,Angelo_Laurel/Elder_subdaily.csv,datetime,P_mm,Q_cfs,,,,,P,Q
Atlanta_CC_P_Q,Atlanta Crooked Creek,Atlanta/Atlanta_USGS_QP_0925.csv,dateTime,Precip_Inst,Flow_Inst,,2335350,,,P,Q
Atlanta_RC_P_Q,Atlanta Richland Creek,Atlanta/Atlanta_USGS_QP_0925.csv,dateTime,Precip_Inst,Flow_Inst,,2334480,,,P,Q
Atlanta_NB_P_Q,Atlanta No Bussiness,Atlanta/Atlanta_USGS_QP_0925.csv,dateTime,Precip_Inst,Flow_Inst,,2207185,,,P,Q
Atlanta_CC_Q_SSC,Atlanta Crooked Creek,Atlanta/Atlanta_USGS_QPSSC_0925.csv,dateTime,Flow_Inst,SpecCond_Inst,,2335350,,,Q,SSC
Atlanta_RC_Q_SSC,Atlanta Richland Creek,Atlanta/Atlanta_USGS_QPSSC_0925.csv,dateTime,Flow_Inst,SpecCond_Inst,,2334480,,,Q,SSC
Atlanta_NB_Q_SSC,Atlanta No Bussiness,Atlanta/Atlanta_USGS_QPSSC_0925.csv,dateTime,Flow_Inst,SpecCond_Inst,,2207185,,,Q,SSC
Baltimore_P_Q,Baltimore,Baltimore/BES_USGS_QP_0917.csv,DateTime_EST_rnd,Precip_mm,Q_cfs,,,,,P,Q
HB_w3_P_Q_full,HB_w3,Hubbard_Brook_Alix/precip_discharge_w3.csv,DATETIME,precip,avg_discharge,,,,,P,Q
HB_w3_P_Q_GS,HB_w3,Hubbard_Brook_Alix/precip_discharge_w3.csv,DATETIME,precip,avg_discharge,GS,,,,P,Q
HB_w8_P_Q_full,HB_w8,Hubbard_Brook_Alix/precip_discharge_w8.csv,DATETIME,precip,avg_discharge,,,,,P,Q
HB_w8_P_Q_GS,HB_w8,Hubbard_Brook_Alix/precip_discharge_w8.csv,DATETIME,precip,avg_discharge,GS,,,,P,Q
Starkey,Starkey_P_Q,Starkey_Adam/SEFR_MergedPQ.csv,DateTime,Precip,Discharge,,,,,P,Q
